,ENSEMBLE_MODELS,MSE,RMSE,MAE,MAPE,R2
0,HYBRID,0.0006308272027887,0.0245763185036986,0.0187901912610067,0.0282011959913377,0.7364142860039311
1,GRU,0.0006264748604282,0.0244710321716836,0.0187441602910746,0.0281219027524471,0.7383164859894723
2,LSTM,0.0005977548470275,0.0238790909952531,0.0185091879033862,0.0277926148739751,0.749530163126114
3,TCN,0.0006536382448469,0.0250299768417991,0.0190810111132302,0.0286539684754625,0.7272485519942672
4,TFT,0.0006584468326068,0.0250995177403853,0.0190956954283121,0.0286942569335863,0.7245113601467557
5,RF,0.0007122003677222,0.0260962517169769,0.0198757501637241,0.0299642436931687,0.697949700278743
6,SVR,0.0006444359158659,0.0248279207270401,0.0190601692284976,0.0286852040026784,0.7301488337880148
7,KNN,0.0006516347708251,0.0249555059315167,0.0190056852914244,0.0285870038935801,0.7267715605170624
8,ARIMA,0.0006636446437108,0.025203637467691,0.0191093811620499,0.0287007201405553,0.7230289445758191
9,HYBRID_GRU,0.0006279775743657,0.0245103714060447,0.018757964972414,0.0281478130266525,0.7376205936260618
10,HYBRID_LSTM,0.0006116647638486,0.0241766580342376,0.0186136059132206,0.0279391038646496,0.7439188824421578
11,HYBRID_TCN,0.0006403623802051,0.0247682856368213,0.0189126429495059,0.0283934096994906,0.7325993160159926
12,HYBRID_TFT,0.0006420391206135,0.0247912059205633,0.018909121657848,0.0283973433798646,0.7316407133333575
13,HYBRID_RF,0.000660606959582,0.0251543143493753,0.0191456944571988,0.028792105641214,0.7219751679977349
14,HYBRID_SVR,0.000631907794895,0.0245974761915373,0.018831161792275,0.028301631330139,0.7355791832396278
15,HYBRID_KNN,0.000639309954263,0.0247303387101034,0.0188734097837123,0.0283548162448866,0.7323667583284522
16,HYBRID_ARIMA,0.0006445402988721,0.0248391855340406,0.0189151200718195,0.0283993062839202,0.7308331640000701
17,GRU_LSTM,0.0006095647686007,0.0241275738992227,0.0185922657439855,0.0279047842868184,0.7448468616178333
18,GRU_TCN,0.0006381576112796,0.0247152301128765,0.0188860557163942,0.0283467345262543,0.7335905656843368
19,GRU_TFT,0.0006400835840221,0.0247432879401345,0.0188863214789853,0.0283563345491005,0.732509586605727
20,GRU_RF,0.0006584697960611,0.0251036278496947,0.0191190074746897,0.0287460376387696,0.7229577979735344
21,GRU_SVR,0.0006298102827528,0.0245462419087716,0.018801338293021,0.0282507863616252,0.7365376987998608
22,GRU_KNN,0.0006371893530601,0.0246788930484074,0.0188485904974371,0.0283111529172854,0.7332968782252806
23,GRU_ARIMA,0.0006423420252721,0.0247859361513928,0.0188878927939465,0.028352025865465,0.7318040806472074
24,LSTM_TCN,0.0006220177911806,0.0243876014992642,0.0187574737758403,0.0281693038969036,0.7397474667968621
25,LSTM_TFT,0.0006229092459318,0.024398489564539,0.0187464998437126,0.0281660676589798,0.73913421366144
