,ENSEMBLE_MODELS,MSE,RMSE,MAE,MAPE,R2
0,HYBRID,0.0010098573930904,0.0308889538207635,0.0245859075503805,0.0341940843551291,0.7394220497301873
1,GRU,0.001008187012433,0.0308688218190679,0.0245723274995883,0.0341630230397283,0.7395361394108412
2,LSTM,0.0009516851717189,0.0299746003607204,0.0239798546490899,0.0333511690215608,0.7543057705894368
3,TCN,0.0010687760670207,0.0318524566940783,0.02542497156112,0.0354844861265232,0.7273936666488222
4,TFT,0.001071541126163,0.0319030464719128,0.0253505524301879,0.0353896012266304,0.727418981270707
5,RF,0.001156676879133,0.0331622196634671,0.0259407849678329,0.0362393364994556,0.7064281409334621
6,SVR,0.0012339203004621,0.0341891023845325,0.0274802870024101,0.0383843744130053,0.6864670945861402
7,KNN,0.001067935818845,0.0318778724209233,0.0254315717356609,0.0354749232988249,0.7272403329423844
8,ARIMA,0.001081306149504,0.0320507827207079,0.0253690285253294,0.035397279599465,0.7250726367388154
9,HYBRID_GRU,0.0010079697982408,0.0308621657070952,0.0245567932697453,0.0341470234246419,0.7397313937595466
10,HYBRID_LSTM,0.0009763270533975,0.0303637386666537,0.0242392710866002,0.0337184586534675,0.7479017695475264
11,HYBRID_TCN,0.0010340503703469,0.0312927007621176,0.0249500979710196,0.0347679220081968,0.7347088763476511
12,HYBRID_TFT,0.0010348962481286,0.031310196017131,0.0249114238999115,0.0347157186784995,0.7347297716678486
13,HYBRID_RF,0.0010627511232497,0.0317331728040632,0.025099584082537,0.0349886355749106,0.7278982838941971
14,HYBRID_SVR,0.0010874005110149,0.0320816572422065,0.0256265991099364,0.0357350887839954,0.7214300822046571
15,HYBRID_KNN,0.0010320148270213,0.0312819818959083,0.0249538751624048,0.0347596580748004,0.7349357383369771
16,HYBRID_ARIMA,0.0010386881514078,0.031369286623743,0.0249200855551679,0.0347220840806957,0.7338152969192969
17,GRU_LSTM,0.0009757006478679,0.0303555992419291,0.0242423309340932,0.033707973878239,0.7479005973313547
18,GRU_TCN,0.0010327631878962,0.0312755991336256,0.0249140222545207,0.0347066217624853,0.734791851317321
19,GRU_TFT,0.0010339741376822,0.0312983725219327,0.0248821603420764,0.0346661141564882,0.7347561229365825
20,GRU_RF,0.0010622567372089,0.0317284736535005,0.0251080704935671,0.0349919089463378,0.7278327649685354
21,GRU_SVR,0.0010865647840799,0.0320725371816801,0.0256078752515623,0.035697655606991,0.7214321270574051
22,GRU_KNN,0.0010312822375283,0.0312733620603591,0.0249276323462034,0.0347130682821472,0.7349195834234706
23,GRU_ARIMA,0.0010376562544255,0.0313561321172479,0.0248999449977062,0.0346835480216704,0.7338839128525567
24,LSTM_TCN,0.0009999138942061,0.0307577013379654,0.0245964131249879,0.0342708898685193,0.743244642705451
25,LSTM_TFT,0.000999829731409,0.03076147498117,0.0245454466168813,0.034208334260517,0.7433876670654889
26,LSTM_RF,0.0010281672910062,0.0312009537879454,0.0247484965581086,0.0344974560136893,0.7362865410721228
27,LSTM_SVR,0.0010543357343311,0.0315769999608799,0.0253165632929935,0.0353009384818719,0.7296032101560826
28,LSTM_KNN,0.0009978845860686,0.0307458136818157,0.0246089775249228,0.0342775942845018,0.7433885598279514
29,LSTM_ARIMA,0.0010034834490397,0.0308198179254396,0.0245830461118217,0.0342468513451157,0.7424907000905464
30,TCN_TFT,0.0010685277929904,0.0318513337083108,0.0253757760463324,0.0354166431175767,0.7278016740413618
31,TCN_RF,0.0010977615636326,0.0322905290855082,0.0255125635786355,0.0356311608130506,0.720512700777494
32,TCN_SVR,0.0011215281367607,0.032616762316704,0.02607098621123,0.0364200486282495,0.7141560719865389
33,TCN_KNN,0.0010652026359962,0.0318169993292849,0.0254099923650886,0.035450101738399,0.7280202487549428
34,TCN_ARIMA,0.0010724022344115,0.0319108675138452,0.0253705786632459,0.0354011623170955,0.7268813431071063
35,TFT_RF,0.0011003124611334,0.0323330562139732,0.0254879559377101,0.0356070476530844,0.7203531274930935
36,TFT_SVR,0.001123566813624,0.0326516600485458,0.0260354991942852,0.0363822435481053,0.7140708079863635
37,TFT_KNN,0.0010681508166839,0.0318671607144482,0.0253725103365711,0.0354066346993828,0.7277109090200535
38,TFT_ARIMA,0.0010752037084807,0.0319582625881909,0.0253437915680955,0.0353718673057504,0.726599884705475
39,RF_SVR,0.0011644881640028,0.0332462933960524,0.0262763766394667,0.0367594480986292,0.7038488506826903
40,RF_KNN,0.001099004322634,0.0323273776536691,0.0255667182513692,0.0356962762854117,0.7201331857278386
41,RF_ARIMA,0.0011033342705099,0.0323799901360316,0.025490538587682,0.0355969832063977,0.7196411160069394
42,SVR_KNN,0.0011207813950834,0.0326237085515953,0.0260344092538035,0.0363632758522647,0.7142844613736989
43,SVR_ARIMA,0.0011250897045778,0.0326785572781496,0.0260207812928125,0.0363527580655335,0.7136669812490003
44,KNN_ARIMA,0.0010718847609696,0.0319240161542727,0.0253788871203968,0.0354048263902185,0.7268414686024166
45,HYBRID_GRU_LSTM,0.000985584491198,0.0305106298110059,0.0243319869350741,0.0338393041519652,0.7454301203136938
46,HYBRID_GRU_TCN,0.0010235903281546,0.0311231926948055,0.0247878290113724,0.0345156749298876,0.7367307366564694
47,HYBRID_GRU_TFT,0.0010241972798873,0.0311353489377225,0.0247668161682109,0.0344869796636647,0.7367213315379441
48,HYBRID_GRU_RF,0.0010396877055712,0.0313716747091141,0.024891198003357,0.0346665718364069,0.7329403822682918
49,HYBRID_GRU_SVR,0.0010528639630397,0.0315620401038207,0.0252059899470221,0.0351149982009447,0.7294387920399185
50,HYBRID_GRU_KNN,0.001022120802977,0.0311144320265635,0.024794983435893,0.0345164150966038,0.7369053711107295
51,HYBRID_GRU_ARIMA,0.0010264340290299,0.0311706964986194,0.0247748422440581,0.0344944339690966,0.7361879542495285
52,HYBRID_LSTM_TCN,0.0010012051822191,0.0307710665784952,0.0245653091178155,0.034213925035288,0.7424777408260076
53,HYBRID_LSTM_TFT,0.0010012365253961,0.0307746896548826,0.02453391913289,0.034174466819397,0.7425477819852699
54,HYBRID_LSTM_RF,0.0010167513807412,0.0310145376800747,0.0246600107589687,0.0343556805127899,0.7386878240891442
55,HYBRID_LSTM_SVR,0.0010307544810781,0.0312191891897974,0.0249908013401106,0.034825734929385,0.7350605925252555
56,HYBRID_LSTM_KNN,0.0009994919424772,0.0307578628389777,0.0245721498406462,0.0342164267546873,0.7426595686208678
57,HYBRID_LSTM_ARIMA,0.0010034606556741,0.0308102624098637,0.0245512595499605,0.0341907836430087,0.7420034010190042
58,HYBRID_TCN_TFT,0.0010444137089878,0.0314638577081778,0.0250697429368558,0.034952303547246,0.7327473988892721
59,HYBRID_TCN_RF,0.0010603268766303,0.0317052392015532,0.0251499931788915,0.0350757735088262,0.7288039540849884
60,HYBRID_TCN_SVR,0.0010732624791019,0.0318879041131712,0.0254755337302016,0.0355304691358291,0.7253219234655822
61,HYBRID_TCN_KNN,0.0010420557838335,0.0314387371897238,0.0250990196713412,0.0349823467981912,0.7329559338263211
62,HYBRID_TCN_ARIMA,0.0010467359350056,0.0315000951455865,0.0250700891966229,0.034948586593789,0.7321926347087103
63,HYBRID_TFT_RF,0.0010615292725129,0.0317268661030396,0.0251299775165362,0.0350574683706199,0.728739506907737
64,HYBRID_TFT_SVR,0.0010742372213678,0.0319057816830726,0.025448380033075,0.0354956312904876,0.7252905026368751
65,HYBRID_TFT_KNN,0.0010434347500214,0.0314635414592036,0.0250705768203554,0.034944691443831,0.7328249237821857
66,HYBRID_TFT_ARIMA,0.0010480496982519,0.0315236739992241,0.0250436837845973,0.0349142729231465,0.732074016368245
67,HYBRID_RF_SVR,0.0010953449578205,0.0322205168241159,0.0255353301323901,0.0356495454474172,0.7200435090973766
68,HYBRID_RF_KNN,0.0010600678889502,0.0317147045007981,0.0251800093242813,0.0351134118682709,0.7287531453588909
69,HYBRID_RF_ARIMA,0.0010634726398825,0.0317575157314805,0.0251315007597234,0.035050693131502,0.7282773288754743
70,HYBRID_SVR_KNN,0.0010721192688979,0.0318837146835359,0.0254645064831502,0.0355075807521845,0.7254968500447357
71,HYBRID_SVR_ARIMA,0.0010755144027717,0.0319274455608847,0.025443638074034,0.035485092193549,0.724965295604075
72,HYBRID_KNN_ARIMA,0.001045694621795,0.0314986068249008,0.0250730945226195,0.0349434051465721,0.7322927773359306
73,GRU_LSTM_TCN,0.0010005402965231,0.0307620094769623,0.0245583688726326,0.0341944821681669,0.7425014209741564
74,GRU_LSTM_TFT,0.001000733892347,0.030768055156701,0.0245314181403877,0.0341613588732973,0.7425462964564962
75,GRU_LSTM_RF,0.0010164388490052,0.031011161114791,0.0246608810729211,0.0343474052155745,0.7386455069504793
76,GRU_LSTM_SVR,0.001030290242278,0.0312136423772882,0.0249802549383678,0.0348030066824426,0.7350483037325503
