,ENSEMBLE_MODELS,MSE,RMSE,MAE,MAPE,R2
0,HYBRID,0.0004471495250072,0.0194937170198242,0.0147359317911833,0.0453726326678683,0.7570394385164279
1,GRU,0.0004399626781155,0.0193228164066736,0.0145023531120063,0.044656292027788,0.7606518563115512
2,LSTM,0.0004229456162389,0.0189265554610903,0.0144273635206339,0.0442935523654125,0.7701251489653904
3,TCN,0.0004609660634746,0.019781705017937,0.0148940668022426,0.0458772378149767,0.7502118082155299
4,TFT,0.0004670727115572,0.0199428398416933,0.0149513838356194,0.0465073505272778,0.7471257136196701
5,RF,0.0004686199276852,0.0199434271897813,0.0150865251565503,0.0464626514163078,0.748152885254247
6,SVR,0.0004999992282836,0.0207533901812903,0.0154543710245158,0.0481782599831223,0.7258353894153541
7,KNN,0.0004631791487967,0.019748958471217,0.0147538028576353,0.0454310949655122,0.7520302735093227
8,ARIMA,0.0004665864525553,0.019880190232043,0.0150057564649685,0.0461274415077191,0.7501358605284626
9,HYBRID_GRU,0.0004404975988553,0.0193213685040842,0.0145490555450854,0.0447847191718416,0.7610873334339355
10,HYBRID_LSTM,0.000431470458296,0.0191193866076055,0.0144930896811677,0.0445526248734878,0.765815216730469
11,HYBRID_TCN,0.0004509176215677,0.0195486400512726,0.0147379490668072,0.0453409269258718,0.7563669087095128
12,HYBRID_TFT,0.0004521276135432,0.0195841332001855,0.0147124282034903,0.0453607040725723,0.7560226456706783
13,HYBRID_RF,0.0004490719111107,0.0195327870221797,0.0147584548729807,0.045446623660244,0.7572082939655166
14,HYBRID_SVR,0.0004670616684116,0.0199788727739397,0.0149564179194365,0.0462702645251008,0.7456195550603258
15,HYBRID_KNN,0.0004515419312648,0.0195342635765113,0.014668718719644,0.0451438114079346,0.7569309290320346
16,HYBRID_ARIMA,0.0004529508641844,0.0195937012105071,0.0147964163552639,0.0455031610090689,0.7560674075117042
17,GRU_LSTM,0.0004279233184803,0.0190396626507384,0.0143917634741962,0.0442697615601415,0.767420697392469
18,GRU_TCN,0.0004473976291959,0.0194728073103286,0.0146276364020092,0.0450416218977874,0.7577989141062309
19,GRU_TFT,0.0004493537508838,0.0195202120128056,0.0146206811127464,0.0451453201329757,0.7573646148003929
20,GRU_RF,0.0004460702479795,0.0194625261879556,0.0146767237355547,0.045232841046496,0.7585242266300241
21,GRU_SVR,0.0004641303503825,0.0199073403787154,0.0148568062939779,0.0460060886101041,0.7467490741975293
22,GRU_KNN,0.0004484770362726,0.0194619357515107,0.0145750643728361,0.0448807917676317,0.7582918957858125
23,GRU_ARIMA,0.0004495845672078,0.0195184967240004,0.0146966484012102,0.0452273265197656,0.7574797239122332
24,LSTM_TCN,0.0004383149351343,0.0192706525298836,0.0145875112317072,0.0448696081601432,0.7624805632918701
25,LSTM_TFT,0.0004391586389114,0.0193011907127225,0.0145378748999172,0.0447982322978997,0.76218722199727
26,LSTM_RF,0.0004355828213826,0.0192308334480312,0.0146192340572524,0.0450005765301325,0.7637865711809839
27,LSTM_SVR,0.0004514850390089,0.0196337736591381,0.0147479812514974,0.045624710232058,0.7532786882269934
28,LSTM_KNN,0.0004381748184388,0.0192363317790592,0.0145021430099239,0.0446215597122852,0.7633820364635894
29,LSTM_ARIMA,0.0004387691498145,0.019277461392727,0.0146366564248383,0.0449953808583365,0.7629464049475615
30,TCN_TFT,0.000461775177892,0.0198055996523706,0.0148500245642986,0.0458430358923849,0.7503169701716615
31,TCN_RF,0.0004566709274884,0.0197021585528128,0.0148627059961802,0.0458358412685734,0.752921445488595
32,TCN_SVR,0.0004754996880186,0.020137806654651,0.0150534239453164,0.0466037996014547,0.7420164106426267
33,TCN_KNN,0.0004600412118447,0.0197149522122926,0.0147819497323572,0.0455273214759087,0.752502026541671
34,TCN_ARIMA,0.0004614090458215,0.0197744800239755,0.0149192515077062,0.0459103059472503,0.7515910347074058
35,TFT_RF,0.0004589466256764,0.0197557210722027,0.0148386425062534,0.0458265989980505,0.7524931233230382
36,TFT_SVR,0.0004783287394564,0.0202001315137099,0.0150550779567368,0.0468475461826486,0.7415985276569317
37,TFT_KNN,0.0004622641928449,0.0197702582987037,0.0147647775615002,0.0455814475924709,0.7520084906282475
38,TFT_ARIMA,0.000463540898038,0.0198271756880259,0.0148880999038317,0.0459096295213531,0.7511368051938847
39,RF_SVR,0.0004752916491991,0.0201637593422239,0.0151259068294115,0.0468555419303134,0.7417563910460796
40,RF_KNN,0.0004588964993452,0.0197119577924414,0.0148057419465628,0.045664733073158,0.7532837297695397
