,ENSEMBLE_MODELS,MSE,RMSE,MAE,MAPE,R2
0,HYBRID,0.0006411246125207,0.0243726942395436,0.0188959681253163,0.0454118196024666,0.6528582379140583
1,GRU,0.0006342887393071,0.0242681080626058,0.0189499397416276,0.0456129488165019,0.6569238622818664
2,LSTM,0.0006036591484354,0.0236123990683066,0.0184812171720594,0.0444764486465572,0.6754722181600541
3,TCN,0.0006487228334532,0.024540656192638,0.0190072293415323,0.0458574084567044,0.6507749392217009
4,TFT,0.0006734212487436,0.0250319406020948,0.0192089828024242,0.0464483766473686,0.638414780213637
5,RF,0.0006848675269231,0.0251361250263907,0.0192787126271764,0.0464517835914724,0.6397249839179567
6,SVR,0.0007708709630598,0.0268057392349178,0.02052389064131,0.0494110061019903,0.5774977240288907
7,KNN,0.0006466333225248,0.0244683049893948,0.0188398203664363,0.0455065697819407,0.6567791776216462
8,ARIMA,0.0006490916346876,0.0245571609420787,0.018925575305318,0.0456845525344583,0.650731082960837
9,HYBRID_GRU,0.0006319232444816,0.0241864128580878,0.0188246387342954,0.0452845696302579,0.6597368740726045
10,HYBRID_LSTM,0.0006159531804547,0.0238617698076616,0.0185806402901741,0.0446911445510824,0.6684311213614295
11,HYBRID_TCN,0.0006383163421578,0.0243235721342134,0.0188583662164646,0.0453909217146895,0.6559505552245394
12,HYBRID_TFT,0.0006478915774382,0.024517886205123,0.0189011512194044,0.0455387771433014,0.6507132164440357
13,HYBRID_RF,0.0006520924708922,0.0245469286366287,0.0189260363733051,0.0455254323941222,0.6530720844033204
14,HYBRID_SVR,0.0006908634433799,0.0253396765589935,0.0194653069773386,0.0468473512763679,0.624376538027732
15,HYBRID_KNN,0.0006367792705846,0.0242795867834961,0.0187610637429727,0.0451758618505128,0.6590818217285702
16,HYBRID_ARIMA,0.000638082454308,0.0243260302159651,0.0188075724511929,0.0452858936350672,0.6559867376929587
17,GRU_LSTM,0.0006138078771313,0.0238271265988963,0.0186423761052932,0.0448604919334186,0.6698750875505238
18,GRU_TCN,0.0006350815757617,0.0242670217349879,0.0188773356765427,0.0454713329021833,0.6585175229211573
19,GRU_TFT,0.0006420608895286,0.0243995941103966,0.0188803987572053,0.0455367826418524,0.6558122928351563
20,GRU_RF,0.0006489281412357,0.0244918750589102,0.0189335227462908,0.0455706601932072,0.655121516490428
21,GRU_SVR,0.0006866761829698,0.025261702209597,0.0194720806954155,0.0468797045673733,0.627869230775608
22,GRU_KNN,0.0006335784415012,0.0242208208699616,0.0187862213808092,0.0452676232560591,0.6615754778758712
23,GRU_ARIMA,0.000634982793391,0.0242697634275139,0.0188355171185418,0.0453775099601085,0.6584654871620864
24,LSTM_TCN,0.0006226499061309,0.0240105185375154,0.0186799677873528,0.0450058547208921,0.6650947429817596
25,LSTM_TFT,0.0006294371065046,0.0241540240055655,0.018683896153984,0.0450950093156781,0.6618224834023803
26,LSTM_RF,0.0006339868142799,0.0241915199916196,0.018715696846282,0.0450761650893084,0.6632038003548079
27,LSTM_SVR,0.0006699544364946,0.0249350822228894,0.0192442854403578,0.0463328966956722,0.6368351948495911
28,LSTM_KNN,0.0006207299208146,0.0239597879682629,0.0185877629249044,0.0448109513855785,0.6682722062524079
29,LSTM_ARIMA,0.0006224827699336,0.0240139291659013,0.0186329285621318,0.044899910711459,0.6650834111698528
30,TCN_TFT,0.0006567115954104,0.024696275293124,0.0190466117983649,0.0460145458801873,0.647166864975151
31,TCN_RF,0.0006582153639324,0.0246793121648695,0.0190237698214427,0.0458807012583484,0.6502216198408932
