,ENSEMBLE_MODELS,MSE,RMSE,MAE,MAPE,R2
0,HYBRID,0.0002723509102866,0.0154272126137527,0.0115436776755098,0.0447839310990539,0.6989668894214525
1,GRU,0.0002687445200328,0.0152994971315304,0.0114443586422165,0.0443871261119349,0.7034310758220782
2,LSTM,0.0002511182674301,0.0147837631410298,0.011110662765776,0.0431983079160919,0.7232136601008544
3,TCN,0.0002767283373943,0.0155632917839489,0.0116259042707999,0.0452564933235015,0.695832132744882
4,TFT,0.0002871743382809,0.0158538878700284,0.0118647148358541,0.0462399302708402,0.6870406191977362
5,RF,0.0002843285502303,0.0157500022539114,0.0117064548712071,0.045624891362619,0.69223930605465
6,SVR,0.0002913897105406,0.0160420226905125,0.0120142470030237,0.0473640759281864,0.6831459059231211
7,KNN,0.0002756313344903,0.015557887085872,0.0115473640514236,0.0451520487932792,0.6941053608082152
8,ARIMA,0.0002882911771162,0.0158563896972452,0.011842754054448,0.0461142852315738,0.6874387906963499
9,HYBRID_GRU,0.00026877501167,0.0153017571723161,0.0114340671581864,0.0443381396883646,0.7039375764713904
10,HYBRID_LSTM,0.0002597302737183,0.0150432806344924,0.0112700581106057,0.04375737150257,0.7137694012777539
11,HYBRID_TCN,0.0002717174705388,0.0153946517398369,0.0114890500161784,0.0446329804542446,0.7014654947035651
12,HYBRID_TFT,0.0002756790575194,0.0154998097335491,0.0115524713672637,0.0449284552288233,0.6984644711478794
13,HYBRID_RF,0.0002725717854404,0.0154080669294644,0.0114450636146076,0.0445048663422475,0.7027370145929349
14,HYBRID_SVR,0.0002761185609584,0.0155384786141084,0.0116061356991541,0.0452795105814388,0.6984486382525811
15,HYBRID_KNN,0.0002710996541604,0.0153923400837598,0.0114492179050809,0.0445774078157811,0.7004359383279454
16,HYBRID_ARIMA,0.000276349570965,0.0155182284582325,0.0115981802584423,0.0450641396133948,0.697834983676012
17,GRU_LSTM,0.0002583734531573,0.0149948711510734,0.0112390957687441,0.0436254674577419,0.7153327241856956
18,GRU_TCN,0.0002703624822438,0.0153553892051883,0.0114611549522412,0.0445129992767208,0.7026331428500875
19,GRU_TFT,0.0002742863358673,0.0154660546475565,0.0115306120460804,0.0448395819418609,0.6993022366109787
20,GRU_RF,0.0002714835861663,0.0153730846301424,0.0114124540563761,0.0443867639354472,0.703886746244113
21,GRU_SVR,0.0002751594952577,0.0155145311635432,0.0115912929292591,0.0452458538021612,0.6991838964348108
22,GRU_KNN,0.000269726505548,0.0153513767621406,0.0114185095237866,0.0444597517663407,0.7017309007033062
23,GRU_ARIMA,0.0002749105777451,0.0154756844869036,0.0115631149240865,0.0449267590506837,0.6991494255314699
24,LSTM_TCN,0.0002618864694748,0.0151149701979603,0.0113347712196007,0.0440970343263677,0.7118422384775793
25,LSTM_TFT,0.0002658908287868,0.0152315958303736,0.011410215136359,0.0444477545287002,0.7082983130921487
26,LSTM_RF,0.0002629940148277,0.0151339834333565,0.0112708338697421,0.0439030503539854,0.7131300042080086
27,LSTM_SVR,0.0002662877208598,0.0152689286468996,0.0114390293330602,0.0446912270909892,0.7080082684179589
28,LSTM_KNN,0.0002610144215833,0.0151053028415475,0.0112692192779144,0.0439452959522892,0.7108354046597003
29,LSTM_ARIMA,0.0002664222921398,0.0152371603055214,0.0114326066566561,0.0444873969776488,0.708028737833665
30,TCN_TFT,0.0002800703496088,0.0156519737446633,0.0116906216855281,0.0455474240039789,0.6937096244187385
31,TCN_RF,0.0002758671600821,0.0155279700657453,0.0115244987573214,0.0449157653741217,0.699504253311341
32,TCN_SVR,0.0002806961109418,0.015702470778557,0.0117256719411823,0.0458872207494901,0.6935628774356841
33,TCN_KNN,0.0002745446397731,0.0155129741711745,0.011529751081877,0.0449681394397623,0.6970847300168689
34,TCN_ARIMA,0.0002806312149412,0.0156568070837338,0.0117068859068726,0.0455749943950831,0.6936677846147465
35,TFT_RF,0.0002806012551691,0.0156639669560409,0.0116269536350246,0.0453634290579838,0.6950931572648428
36,TFT_SVR,0.0002864468764336,0.015866767312729,0.0118608682256875,0.046392369964376,0.6878327574535262
37,TFT_KNN,0.0002795520700326,0.0156544565122663,0.0116587030434849,0.0455033664685182,0.6923870363833377
38,TFT_ARIMA,0.0002857973286007,0.0157996280327072,0.0118118281841885,0.0460219982160853,0.6891865058993
39,RF_SVR,0.0002824743587054,0.0157377899284815,0.0117124374643988,0.0458608527069453,0.6943195347025738
40,RF_KNN,0.0002766635761138,0.0155616430589413,0.0115251012579726,0.0450351456747241,0.697165446157925
41,RF_ARIMA,0.000281051317019,0.0156618850659275,0.0116558081461009,0.0454290212638452,0.6957126301340502
42,SVR_KNN,0.0002811650512063,0.0157266959692134,0.0117210381114007,0.0459530400575011,0.6917826476117356
43,SVR_ARIMA,0.0002875688622176,0.0158795231760602,0.011870944810777,0.0464372840961704,0.6879887776377117
44,KNN_ARIMA,0.0002802089610808,0.0156608142455049,0.0116695370789816,0.0455352935071809,0.6923669159060042
45,HYBRID_GRU_LSTM,0.0002617001396036,0.0150939780073143,0.0112934177216498,0.0438191032205418,0.7118385758216639
46,HYBRID_GRU_TCN,0.0002695106766774,0.0153236067893328,0.0114349766619744,0.0443799369046892,0.7037683064568623
47,HYBRID_GRU_TFT,0.0002718546393684,0.0153865626807595,0.0114630612395892,0.0445314318526516,0.7019309589774205
48,HYBRID_GRU_RF,0.0002695441725063,0.0153163957203521,0.0113836118419612,0.0442181693718899,0.705289786437286
49,HYBRID_GRU_SVR,0.0002719696811871,0.0154041817786423,0.0114979012408466,0.044748798136031,0.7023040637187199
50,HYBRID_GRU_KNN,0.0002690753245226,0.015321470427139,0.0114024753749237,0.0443228692243826,0.7031015928843135
51,HYBRID_GRU_ARIMA,0.0002723060037872,0.0153990748740654,0.0114993255508183,0.0446411764174407,0.7015390207528452
52,HYBRID_LSTM_TCN,0.0002636821488685,0.0151590124331581,0.0113430043049288,0.0440729656888909,0.7100328728409339
53,HYBRID_LSTM_TFT,0.0002660618924123,0.015224400260881,0.0113743014621352,0.0442398005545746,0.7081008498603946
54,HYBRID_LSTM_RF,0.0002637096186665,0.0151521114722489,0.0112865573246224,0.0438878198404494,0.7115695360819815
55,HYBRID_LSTM_SVR,0.0002659652593209,0.0152367704402005,0.0113962478029185,0.04439565526598,0.7083976418164166
56,HYBRID_LSTM_KNN,0.0002631418761823,0.0151542863724408,0.0113012246999245,0.0439732979646451,0.7093196740812308
