,MSE,MAE,RMSE,MAPE,R2
0,0.000871945,0.02355731,0.029528712,0.043301433,0.396191919
1,0.000312439,0.013551514,0.017675951,0.025467197,0.875821881
2,0.000586294,0.019610148,0.02421351,0.0278118,0.78332388
3,0.000880912,0.022359789,0.029680157,0.031780085,0.648734987
4,0.001099325,0.025790286,0.033156075,0.028512056,0.830908801
5,0.001006154,0.024574629,0.031719935,0.026188767,0.70357909
6,0.00076077,0.01932541,0.027582066,0.025433969,0.592935624
7,0.000336708,0.012650693,0.018349617,0.020286259,0.890223099
8,0.000795359,0.019367368,0.028202117,0.030723683,0.515630542
9,0.000477669,0.016509886,0.021855633,0.025702592,0.783017938
10,0.000300586,0.014260817,0.017337427,0.022568365,0.817230831
11,0.0004978,0.016812825,0.022311439,0.03484877,0.833477894
,,,,,
,0.000660497,0.01903089,0.025134387,0.028552081,0.722589707
