,MSE,MAE,RMSE,MAPE,R2
0,0.000906606,0.024739477,0.030109892,0.04623117,0.828024282
1,0.000480157,0.017036836,0.021912474,0.034220012,0.765369059
2,0.000969029,0.024857665,0.031129231,0.033676769,0.694319985
3,0.002022089,0.03487768,0.044967643,0.044982499,0.734976288
4,0.001245652,0.028019049,0.035293792,0.030452988,0.800386823
5,0.002020289,0.035265083,0.044947629,0.033823814,0.286409081
6,0.001303981,0.028264722,0.036110678,0.029442425,0.572529456
7,0.001028783,0.024632812,0.032074648,0.034890955,0.913519394
8,0.001050384,0.025171866,0.032409633,0.036723181,0.553025222
9,0.000463676,0.017804287,0.021533129,0.02654442,0.898167669
10,0.000569216,0.018840926,0.023858249,0.025861209,0.776752545
11,0.00085686,0.023991441,0.029272167,0.047173962,0.887771824
,,,,,
,0.001076393,0.02529182,0.031968264,0.035335284,0.725937636
