,MSE,MAE,RMSE,MAPE,R2
0,0.000680084,0.020224131,0.02607843,0.056957779,0.786105651
1,0.000130788,0.008926843,0.011436272,0.031079428,0.80593734
2,0.000388359,0.015435136,0.019706837,0.038681186,0.762183156
3,0.00107985,0.022105191,0.032861071,0.052095259,0.717005968
4,0.00039169,0.01576555,0.019791158,0.035503645,0.491442386
5,0.001501792,0.028537904,0.038752958,0.051447503,0.670254247
6,0.000452012,0.014953012,0.021260582,0.040624271,0.736497687
7,0.000231088,0.011779844,0.015201579,0.04047912,0.878198265
8,0.000251071,0.013067643,0.015845228,0.050027199,0.720202026
9,0.000112684,0.008666071,0.010615272,0.035718944,0.850171492
10,0.000116401,0.008838335,0.010788947,0.037664857,0.767731716
11,0.000229582,0.010762819,0.015151962,0.077362858,0.835290762
,,,,,
,0.000463784,0.014921873,0.019790858,0.045636838,0.751751725
