,MSE,MAE,RMSE,MAPE,R2
0,0.001609179,0.029760356,0.04011457,0.063540587,0.641130942
1,0.00021965,0.012048886,0.014820604,0.030518547,0.786376826
2,0.000647635,0.021653293,0.025448671,0.039802388,0.766029167
3,0.000966781,0.020097446,0.031093099,0.040710991,0.71970896
4,0.000384763,0.015311551,0.019615379,0.028912031,0.131216105
5,0.00056159,0.018729012,0.023697884,0.038688209,0.592621722
6,0.000376457,0.014373355,0.019402494,0.037066979,0.694243584
7,0.000564696,0.02004776,0.023763323,0.05627909,0.887585661
8,0.00028925,0.013005252,0.017007363,0.043144076,0.653810155
9,0.000571399,0.016144771,0.023903956,0.046025554,0.619205586
10,0.000549712,0.018956305,0.023445948,0.041224697,0.666917704
11,0.000964933,0.025963979,0.031063369,0.078363839,0.632905234
,,,,,
,0.00064217,0.018840997,0.024448055,0.045356416,0.649312637
