,MSE,MAE,RMSE,MAPE,R2
0,0.000455275,0.016421502,0.021337163,0.07011362,0.827431375
1,0.00010123,0.00706264,0.010061312,0.037438731,0.75955484
2,0.000792628,0.021718963,0.028153646,0.062047102,0.860129037
3,0.00063497,0.017045664,0.025198605,0.048442764,0.743565935
4,0.000232419,0.010439735,0.015245292,0.029198912,-0.216321937
5,0.000257443,0.012635115,0.016045032,0.034488987,0.788859051
6,0.000223152,0.011986111,0.014938276,0.043825562,0.577308106
7,8.51E-05,0.00688336,0.009226973,0.032163138,0.914437335
8,0.000334649,0.013976082,0.018293407,0.058494984,0.606747306
9,8.53E-05,0.007037309,0.009233285,0.028765137,0.70279121
10,0.000100021,0.007834469,0.010001039,0.035351228,0.83112826
11,0.000136578,0.008211443,0.011686652,0.067155703,0.867604481
,,,,,
,0.000286563,0.011771033,0.015785057,0.045623822,0.688602916
