,MSE,MAE,RMSE,MAPE,R2
0,0.000919342,0.024772119,0.030320658,0.04622872,0.825608228
1,0.000483219,0.017732887,0.021982254,0.035628899,0.763872324
2,0.000928635,0.024370503,0.03047351,0.033077193,0.707062343
3,0.001968125,0.03535511,0.044363553,0.045464638,0.742049047
4,0.001245818,0.028481638,0.035296151,0.030881908,0.80036014
5,0.001965814,0.035021611,0.044337499,0.033625908,0.305650515
6,0.001296969,0.028380679,0.036013454,0.02952649,0.5748282
7,0.001009048,0.024494905,0.031765517,0.034590851,0.915178337
8,0.001097426,0.025649346,0.033127414,0.037385479,0.533007528
9,0.000465866,0.017903542,0.021583939,0.026759504,0.897686527
10,0.000566374,0.018552449,0.023798605,0.025441157,0.777867362
11,0.000868594,0.024464072,0.029471914,0.047088334,0.883713443
,,,,,
,0.001067936,0.025431572,0.031877872,0.035474923,0.727240333
