,MSE,MAE,RMSE,MAPE,R2
0,0.000917866,0.023452866,0.030296307,0.043028384,0.364392102
1,0.00031143,0.014273304,0.017647385,0.02688633,0.876222936
2,0.000622935,0.021339061,0.024958672,0.030170789,0.769782429
3,0.00095905,0.022671497,0.030968526,0.032329204,0.617577382
4,0.001060865,0.026188075,0.032570915,0.028874041,0.836824598
5,0.000889336,0.022511794,0.029821738,0.023947587,0.737994648
6,0.000672301,0.01886825,0.025928769,0.024817275,0.640272773
7,0.000340959,0.012642153,0.018465081,0.020085867,0.888837214
8,0.000735035,0.019370014,0.02711152,0.030837729,0.552368059
9,0.000440068,0.016066406,0.02097779,0.025025787,0.80009829
10,0.000282515,0.01360661,0.01680819,0.021528995,0.828218838
11,0.000500871,0.017732001,0.022380156,0.03669046,0.849196737
,,,,,
,0.000644436,0.019060169,0.024827921,0.028685204,0.730148834
