,MSE,MAE,RMSE,MAPE,R2
0,0.000943269,0.023107844,0.030712684,0.043764783,0.821069536
1,0.000572971,0.018853612,0.023936816,0.037988762,0.720014716
2,0.001202609,0.028868982,0.034678652,0.038840595,0.620637277
3,0.002651299,0.044244468,0.051490764,0.05706255,0.652509325
4,0.00133547,0.031154832,0.036544077,0.033822622,0.785993703
5,0.002129267,0.035021797,0.046143977,0.033615871,0.24791699
6,0.001445131,0.029391639,0.038014875,0.030540153,0.526257828
7,0.00101722,0.023745954,0.031893882,0.033818384,0.91449142
8,0.001244496,0.027894175,0.035277421,0.040934476,0.470423808
9,0.000536454,0.019799506,0.023161476,0.02942015,0.882184111
10,0.00066752,0.02049546,0.025836413,0.028075285,0.738197494
11,0.001061339,0.027185175,0.032578193,0.052728863,0.857908926
,,,,,
,0.00123392,0.027480287,0.034189102,0.038384374,0.686467095
