,MSE,MAE,RMSE,MAPE,R2
0,0.000666843,0.019214328,0.025823305,0.05470772,0.790270233
1,0.000150862,0.009506461,0.012282571,0.033255742,0.776152864
2,0.000411666,0.015964484,0.020289558,0.040097413,0.747910971
3,0.001166254,0.022849372,0.03415046,0.054186218,0.69436228
4,0.000402492,0.015690391,0.020062215,0.035313303,0.477416716
5,0.001532818,0.028062317,0.039151216,0.050404252,0.663441931
6,0.000540758,0.016280971,0.023254202,0.044152098,0.684763143
7,0.000267021,0.01271367,0.016340771,0.043963419,0.859258824
8,0.000270697,0.013832064,0.016452879,0.053429223,0.698330531
9,0.000134156,0.009198913,0.011582557,0.038008258,0.821622057
10,0.000142186,0.00948288,0.011924187,0.040684669,0.716280383
11,0.000314238,0.0126566,0.017726762,0.089936804,0.780214739
,,,,,
,0.000499999,0.015454371,0.02075339,0.04817826,0.725835389
