,MSE,MAE,RMSE,MAPE,R2
0,0.002055479,0.032752264,0.045337388,0.06997731,0.541599872
1,0.000318305,0.014440185,0.017841103,0.036757466,0.690429229
2,0.000764035,0.02198625,0.027641192,0.040002888,0.723977156
3,0.001020011,0.021647619,0.031937614,0.043691491,0.704276309
4,0.00047764,0.017197962,0.02185497,0.032245376,-0.078496639
5,0.000602748,0.019829539,0.024550918,0.041027052,0.562765702
6,0.000451172,0.015086947,0.021240809,0.039093316,0.633560242
7,0.000617232,0.020672936,0.024844153,0.057704108,0.877127194
8,0.000369235,0.014773176,0.019215495,0.048742068,0.558080152
9,0.000677753,0.016610748,0.026033685,0.047144451,0.548328937
10,0.000728445,0.021931731,0.026989727,0.047611491,0.558619695
11,0.001168397,0.02935733,0.034181817,0.088935055,0.60970484
,,,,,
,0.000770871,0.020523891,0.026805739,0.049411006,0.577497724
