,MSE,MAE,RMSE,MAPE,R2
0,0.00042005,0.015884692,0.020495121,0.069161213,0.840782989
1,0.000101778,0.007507003,0.010088521,0.040085268,0.758252619
2,0.000782022,0.021777086,0.02796465,0.062032765,0.862000641
3,0.000664164,0.017368667,0.025771374,0.049742236,0.731775853
4,0.000222585,0.010183784,0.014919281,0.028522535,-0.164857547
5,0.000254348,0.012301153,0.015948292,0.033511188,0.791397438
6,0.000232133,0.012163101,0.015235911,0.044610034,0.560296657
7,0.000103949,0.007566263,0.010195556,0.03555618,0.895530956
8,0.000332194,0.014059596,0.018226203,0.05905269,0.609631339
9,9.39E-05,0.007583921,0.009691403,0.031211356,0.67256701
10,0.000119072,0.008445157,0.010912002,0.038601365,0.798963194
11,0.000170458,0.009330541,0.01305596,0.076282081,0.841409723
,,,,,
,0.00029139,0.012014247,0.016042023,0.047364076,0.683145906
