,avgcpu,std,labels
0,[0.09913759],[0.6705763],[1.11321864]
1,[0.10933374],[0.66617835],[0.78595463]
2,[0.14894105],[0.6318053],[0.7494702]
3,[0.14319752],[0.6358501],[0.70101747]
4,[0.11588345],[0.65816337],[0.75567849]
5,[0.10229315],[0.6673444],[0.46755433]
6,[0.09252498],[0.6830946],[0.52877584]
7,[0.09252277],[0.69589984],[0.72532093]
8,[0.09395063],[0.7036057],[0.90888848]
9,[0.10386485],[0.70165455],[1.00086975]
10,[0.11071399],[0.6967103],[0.91940839]
11,[0.11244161],[0.69546306],[0.7572915]
12,[0.10781558],[0.70340705],[0.67811814]
13,[0.10315259],[0.714313],[0.53598079]
14,[0.10207579],[0.7232005],[0.55346747]
15,[0.10397252],[0.7280987],[0.47452742]
16,[0.10086656],[0.7320473],[0.6548884]
17,[0.1040827],[0.7306902],[0.53687183]
18,[0.10120313],[0.72915953],[0.57638489]
19,[0.10400638],[0.7270639],[0.51121505]
20,[0.09807453],[0.72933835],[0.65006347]
21,[0.10325308],[0.7269363],[0.71487418]
22,[0.10589555],[0.72299516],[0.66534982]
23,[0.10985568],[0.71861],[0.61532263]
24,[0.10726562],[0.7198369],[0.70507503]
25,[0.10726388],[0.72112316],[0.69524386]
26,[0.10880502],[0.72033036],[0.77933071]
27,[0.11366345],[0.7173561],[0.9227856]
28,[0.11646141],[0.714008],[0.91874174]
29,[0.12007841],[0.70980006],[0.97564477]
30,[0.12266386],[0.7078671],[0.88103574]
31,[0.11817347],[0.711214],[0.88947956]
32,[0.11760823],[0.71513635],[0.82715005]
33,[0.1129659],[0.72071844],[0.6429677]
34,[0.10871266],[0.72722185],[0.78031081]
35,[0.10803315],[0.7314149],[0.8194311]
36,[0.10710275],[0.73190296],[0.58477691]
37,[0.10697782],[0.731658],[0.62896331]
38,[0.10377882],[0.73501813],[0.79469562]
39,[0.10308664],[0.73549736],[0.76309381]
40,[0.10797425],[0.73042387],[0.76354261]
41,[0.11067048],[0.72657555],[0.61746704]
42,[0.10351606],[0.7300696],[0.5211809]
43,[0.1008486],[0.73435986],[0.57897876]
44,[0.10075372],[0.7369654],[0.71396109]
45,[0.10414898],[0.7345211],[0.57390075]
46,[0.10517575],[0.7306692],[0.70587214]
47,[0.10795988],[0.727815],[0.75428433]
48,[0.10661273],[0.72582084],[0.8458746]
49,[0.1140234],[0.7198578],[0.80105373]
50,[0.11385266],[0.7173875],[0.77951695]
51,[0.11352132],[0.71802956],[0.90740715]
