,date,open,high,low,close
0,2017-01-30,12.63,12.87,12.53,12.73
1,2017-01-31,12.73,13.23,12.65,13.02
2,2017-02-01,13.02,13.22,12.8,13.17
3,2017-02-02,13.17,13.4,13.04,13.13
4,2017-02-03,13.13,13.17,12.02,12.56
5,2017-02-04,12.56,13.0,12.28,12.48
6,2017-02-05,12.48,12.82,12.48,12.6
7,2017-02-06,12.6,12.71,12.4,12.64
8,2017-02-07,12.64,13.05,12.46,12.5
9,2017-02-08,12.5,12.8,12.35,12.69
10,2017-02-09,12.69,12.81,11.48,12.0
11,2017-02-10,12.0,12.18,11.75,12.06
12,2017-02-11,12.06,12.33,12.06,12.27
13,2017-02-12,12.27,12.34,12.13,12.29
14,2017-02-13,12.29,12.34,12.15,12.26
15,2017-02-14,12.26,13.3,12.15,13.01
16,2017-02-15,13.01,13.8,12.91,13.75
17,2017-02-16,13.75,13.8,12.91,13.19
18,2017-02-17,13.19,13.46,13.16,13.45
19,2017-02-18,13.45,13.67,13.2,13.46
20,2017-02-19,13.46,13.48,13.07,13.11
21,2017-02-20,13.11,13.11,11.48,12.28
22,2017-02-21,12.28,12.54,12.0,12.52
23,2017-02-22,12.52,12.94,12.21,12.85
24,2017-02-23,12.85,13.02,12.67,12.78
25,2017-02-24,12.78,12.78,12.78,12.78
26,2017-02-25,12.1,12.25,11.78,11.92
27,2017-02-26,11.92,12.2,11.8,12.0
28,2017-02-27,12.0,12.18,12.0,12.0
29,2017-02-28,12.0,12.4,11.6,12.27
30,2017-03-01,12.27,13.0,12.19,12.33
31,2017-03-02,12.33,13.5,12.18,13.09
32,2017-03-03,13.09,14.87,12.85,14.08
33,2017-03-04,14.08,14.36,13.05,13.67
34,2017-03-05,13.67,16.0,13.67,15.31
35,2017-03-06,15.31,15.9,14.85,15.45
36,2017-03-07,15.45,15.5,13.58,13.7
37,2017-03-08,13.7,13.87,12.5,12.5
38,2017-03-09,12.5,13.71,12.36,13.03
39,2017-03-10,13.03,13.52,12.1,13.16
40,2017-03-11,13.16,14.74,12.92,14.67
41,2017-03-12,14.67,17.19,14.36,16.84
42,2017-03-13,16.84,19.4,16.5,18.26
43,2017-03-14,18.26,18.5,17.13,17.65
44,2017-03-15,17.65,19.81,17.4,19.06
45,2017-03-16,19.06,23.0,18.75,22.2
46,2017-03-17,22.2,25.1,19.21,21.81
47,2017-03-18,21.81,22.04,17.8,19.83
48,2017-03-19,19.83,24.5,19.83,22.85
49,2017-03-20,22.85,24.44,22.0,22.3
50,2017-03-21,22.3,22.87,20.59,21.28
51,2017-03-22,21.28,22.34,20.32,21.25
52,2017-03-23,21.25,22.42,20.5,21.76
53,2017-03-24,21.76,22.28,20.64,21.3
54,2017-03-25,21.3,21.7,19.65,20.1
55,2017-03-26,20.1,20.6,19.13,19.38
56,2017-03-27,19.38,20.06,17.35,19.29
57,2017-03-28,19.29,20.29,17.8,19.39
58,2017-03-29,19.39,21.2,19.12,20.87
59,2017-03-30,20.87,21.15,19.85,19.85
60,2017-03-31,19.85,20.8,19.41,20.23
61,2017-04-01,20.23,21.23,19.0,21.0
62,2017-04-02,21.0,21.29,19.67,19.67
63,2017-04-03,19.67,21.03,19.5,20.21
64,2017-04-04,20.21,20.9,19.78,20.48
65,2017-04-05,20.48,20.55,19.71,19.91
66,2017-04-06,19.91,20.25,18.6,19.42
67,2017-04-07,19.42,20.33,19.16,19.78
68,2017-04-08,19.78,21.6,19.38,21.05
69,2017-04-09,21.05,21.59,20.0,21.05
70,2017-04-10,21.05,22.9,21.05,22.35
71,2017-04-11,22.35,22.48,21.57,21.82
72,2017-04-12,21.82,22.7,21.58,22.15
73,2017-04-13,22.15,22.44,21.69,21.76
74,2017-04-14,21.76,22.32,20.1,21.21
75,2017-04-15,21.21,21.73,20.75,21.08
76,2017-04-16,21.08,21.15,20.64,20.89
77,2017-04-17,20.89,21.63,20.7,21.22
78,2017-04-18,21.22,22.0,21.05,21.94
79,2017-04-19,21.94,21.96,21.15,21.2
80,2017-04-20,21.2,22.04,20.99,21.03
81,2017-04-21,21.03,21.8,21.0,21.78
82,2017-04-22,21.78,21.95,21.29,21.8
83,2017-04-23,21.8,22.03,21.52,21.86
84,2017-04-24,21.86,22.04,21.05,21.06
85,2017-04-25,21.06,21.7,21.06,21.32
86,2017-04-26,21.32,21.6,20.88,21.22
87,2017-04-27,21.22,23.81,21.01,23.1
88,2017-04-28,23.1,24.3,22.86,23.86
89,2017-04-29,23.86,24.9,23.68,24.55
90,2017-04-30,24.55,26.3,24.5,25.25
91,2017-05-01,25.25,25.8,23.92,24.66
92,2017-05-02,24.66,25.15,24.0,24.76
93,2017-05-03,24.76,27.55,24.47,27.16
94,2017-05-04,27.16,27.84,25.0,27.25
95,2017-05-05,27.25,31.5,26.19,28.44
96,2017-05-06,28.44,30.69,28.1,29.4
97,2017-05-07,29.4,35.5,29.0,33.72
98,2017-05-08,33.72,35.0,27.7,30.15
99,2017-05-09,30.15,31.58,26.5,28.64
100,2017-05-10,28.64,31.39,27.89,30.03
101,2017-05-11,30.03,30.58,29.39,30.0
102,2017-05-12,30.0,30.93,28.78,29.29
103,2017-05-13,29.29,29.6,27.83,29.17
104,2017-05-14,29.17,29.75,28.02,28.91
105,2017-05-15,28.91,29.4,27.7,28.44
106,2017-05-16,28.44,28.44,26.61,26.97
107,2017-05-17,26.97,28.7,25.95,27.8
108,2017-05-18,27.8,32.0,27.67,31.11
109,2017-05-19,31.11,32.38,30.88,31.88
110,2017-05-20,31.88,37.58,31.3,35.4
111,2017-05-21,35.4,36.5,33.5,34.47
112,2017-05-22,34.47,40.76,32.5,36.0
113,2017-05-23,36.0,57.7,35.5,55.64
114,2017-05-24,55.64,57.32,42.2,45.0
115,2017-05-25,45.0,49.0,37.4,38.2
116,2017-05-26,38.2,43.15,30.0,37.08
117,2017-05-27,37.08,39.5,24.1,32.0
118,2017-05-28,32.0,38.31,30.0,35.0
119,2017-05-29,35.0,43.08,34.19,40.12
120,2017-05-30,40.12,45.28,38.85,39.28
121,2017-05-31,39.28,41.96,37.18,40.27
122,2017-06-01,40.27,44.22,40.12,42.12
123,2017-06-02,42.12,43.11,41.22,42.59
124,2017-06-03,42.59,43.26,41.0,41.0
125,2017-06-04,41.0,41.0,41.0,41.0
126,2017-06-05,42.37,48.06,42.33,47.99
127,2017-06-06,47.99,55.65,45.45,55.6
128,2017-06-07,55.6,63.2,51.27,52.0
129,2017-06-08,52.0,56.2,49.55,56.2
130,2017-06-09,56.2,57.17,54.8,55.37
131,2017-06-10,55.37,56.4,50.9,51.03
132,2017-06-11,51.03,58.3,50.9,58.3
133,2017-06-12,58.3,59.51,43.0,49.05
134,2017-06-13,49.05,52.67,48.46,51.14
135,2017-06-14,51.14,52.51,42.79,45.0
136,2017-06-15,45.0,46.4,37.0,45.55
137,2017-06-16,45.55,47.52,43.0,47.5
138,2017-06-17,47.5,52.21,46.2,51.83
139,2017-06-18,51.83,53.66,47.56,49.72
140,2017-06-19,49.72,51.37,49.0,50.2
