,pdq,pdqs,aic,rmse
0,"(0, 0, 0)","(0, 0, 0, 12)",-1486.8661054412041,0.10244695306661156
1,"(0, 0, 0)","(0, 0, 1, 12)",-2729.257636457336,0.07032715423098714
2,"(0, 0, 0)","(0, 0, 2, 12)",-3288.347708181528,0.06388298236441951
3,"(0, 0, 0)","(1, 0, 0, 12)",-4117.6221921161805,0.05079341473284176
4,"(0, 0, 0)","(1, 0, 1, 12)",-4112.155291440242,0.05100988737002376
5,"(0, 0, 0)","(1, 0, 2, 12)",-4072.9343590224225,0.05046942079173655
6,"(0, 0, 0)","(2, 0, 0, 12)",-4073.7460647713733,0.050994061455897154
7,"(0, 0, 0)","(2, 0, 1, 12)",-4071.8593679878395,0.051006430592295454
8,"(0, 0, 0)","(2, 0, 2, 12)",-4074.424348825395,0.05061450783787765
9,"(0, 0, 1)","(0, 0, 0, 12)",-3505.7235817198152,0.05495176732276144
10,"(0, 0, 1)","(0, 0, 1, 12)",-4575.371262285271,0.038861949320339664
11,"(0, 0, 1)","(0, 0, 2, 12)",-4949.4855557600495,0.035073601803427334
12,"(0, 0, 1)","(1, 0, 0, 12)",-5627.594384934669,0.031170824146693872
13,"(0, 0, 1)","(1, 0, 1, 12)",-5628.996812578613,0.0319258318834385
14,"(0, 0, 1)","(1, 0, 2, 12)",-5575.202065490833,0.03203283365069464
15,"(0, 0, 1)","(2, 0, 0, 12)",-5583.917155603318,0.031849301922438254
16,"(0, 0, 1)","(2, 0, 1, 12)",-5585.374241482242,0.03206439204578092
17,"(0, 0, 1)","(2, 0, 2, 12)",-5574.877535436709,0.0320984216234921
18,"(0, 0, 2)","(0, 0, 0, 12)",-4832.466381399445,0.03739215288063085
19,"(0, 0, 2)","(0, 0, 1, 12)",-5572.33145488063,0.02879999458518705
20,"(0, 0, 2)","(0, 0, 2, 12)",-5793.9311140240425,0.027598449852096328
21,"(0, 0, 2)","(1, 0, 0, 12)",-6279.000667844429,0.0250960867980118
22,"(0, 0, 2)","(1, 0, 1, 12)",-6307.623244495073,0.025770291727502025
23,"(0, 0, 2)","(1, 0, 2, 12)",-6261.811425037234,0.025833744628622493
24,"(0, 0, 2)","(2, 0, 0, 12)",-6252.575740891925,0.025533971863150148
25,"(0, 0, 2)","(2, 0, 1, 12)",-6272.957086687311,0.02588258129996525
26,"(0, 0, 2)","(2, 0, 2, 12)",-6259.156665854962,0.02582598857156788
27,"(1, 0, 0)","(0, 0, 0, 12)",-8090.041684794637,0.015669372466903086
28,"(1, 0, 0)","(0, 0, 1, 12)",-8016.948689790645,0.015724545709399424
29,"(1, 0, 0)","(0, 0, 2, 12)",-7952.948326510176,0.015627883596021196
30,"(1, 0, 0)","(1, 0, 0, 12)",-8016.940690155369,0.015715090948035592
31,"(1, 0, 0)","(1, 0, 1, 12)",-8018.226303038589,0.015751971346878894
32,"(1, 0, 0)","(1, 0, 2, 12)",-7953.004638440243,0.015613640332577191
