,pq,mean,aic,rmse
0,"(1, 1)",LS,-2957.119269289288,0.0872317926226975
1,"(1, 2)",LS,-3634.8849184340497,0.09015446640279377
2,"(2, 1)",LS,-3833.210624406571,0.09079702295351419
3,"(2, 2)",LS,-3749.792452838391,0.08841132245264959
4,"(1, 1)",Constant,-2957.119269289288,0.0872317926226975
5,"(1, 2)",Constant,-3634.8849184340497,0.09015446640279377
6,"(2, 1)",Constant,-3833.210624406571,0.09079702295351419
7,"(2, 2)",Constant,-3749.792452838391,0.08841132245264959
8,"(1, 1)",AR,-2957.119269289288,0.0872317926226975
9,"(1, 2)",AR,-3634.8849184340497,0.09015446640279377
10,"(2, 1)",AR,-3833.210624406571,0.09079702295351419
11,"(2, 2)",AR,-3749.792452838391,0.08841132245264959
