round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
596,0.00018984806956723332,0.00018984806956723332,0.006044524256139994,0.0002886306610889733,0.0002886306610889733,0.006737126037478447,100,relu,100,relu,256,200,20,rmsprop,1e-05
659,0.00019675923977047205,0.00019675923977047205,0.006470773369073868,0.0003005015314556658,0.0003005015314556658,0.007022865116596222,50,relu,32,relu,256,200,20,rmsprop,1e-05
583,0.0001701531873550266,0.0001701531873550266,0.005624514538794756,0.00026881310623139143,0.00026881310623139143,0.006419489160180092,75,relu,100,relu,256,200,20,nadam,0.0001
739,0.0001763111649779603,0.0001763111649779603,0.0057830242440104485,0.0002720736956689507,0.0002720736956689507,0.006672359071671963,100,relu,100,relu,256,200,20,rmsprop,0.0001
878,0.00017612925148569047,0.00017612925148569047,0.005819611717015505,0.0002782314841169864,0.0002782314841169864,0.00646988907828927,100,relu,64,relu,256,200,20,adam,0.001
605,0.00017976573144551367,0.00017976573144551367,0.005973280407488346,0.0002756331523414701,0.0002756331523414701,0.006649762392044067,75,relu,16,relu,256,200,20,rmsprop,0.001
801,0.00017788339755497873,0.00017788339755497873,0.005848069675266743,0.0002712500572670251,0.0002712500572670251,0.0064443377777934074,100,relu,32,relu,256,200,20,rmsprop,1e-05
760,0.00017135444795712829,0.00017135444795712829,0.005933957640081644,0.00026977359084412456,0.00026977359084412456,0.006325374357402325,75,relu,32,relu,256,200,20,rmsprop,1e-05
829,0.00016966782277449965,0.00016966782277449965,0.005625034682452679,0.0002704477228689939,0.0002704477228689939,0.006339565850794315,50,relu,64,relu,256,200,20,nadam,1e-05
372,0.00018390273908153176,0.00018390273908153176,0.005950532387942076,0.000280314648989588,0.000280314648989588,0.0066473293118178844,75,relu,16,relu,256,200,20,nadam,0.001
706,0.0001823180791689083,0.0001823180791689083,0.005866729188710451,0.0002863209811039269,0.0002863209811039269,0.006599715910851955,50,relu,16,relu,256,200,20,rmsprop,1e-05
388,0.00016895326552912593,0.00016895326552912593,0.0057559534907341,0.0002670144021976739,0.0002670144021976739,0.006525429897010326,100,relu,32,relu,256,200,20,adam,0.0001
1000,0.00017280958127230406,0.00017280958127230406,0.005707892123609781,0.0002754726156126708,0.0002754726156126708,0.006460729520767927,75,relu,32,relu,256,200,20,nadam,1e-05
560,0.00017550376651342958,0.00017550376651342958,0.005760951898992062,0.0002770397113636136,0.0002770397113636136,0.0065665896981954575,50,relu,16,relu,256,200,20,adam,1e-05
471,0.00017497198132332414,0.00017497198132332414,0.005797713994979858,0.00026533534401096404,0.00026533534401096404,0.006388998124748468,50,relu,64,relu,256,200,20,adam,0.001
702,0.00017325938097201288,0.00017325938097201288,0.005718441214412451,0.00026690232334658504,0.00026690232334658504,0.006329100579023361,50,relu,100,relu,256,200,20,rmsprop,0.0001
650,0.0001728024217300117,0.0001728024217300117,0.0056882817298173904,0.0002684974460862577,0.0002684974460862577,0.006362879648804665,75,relu,32,relu,256,200,20,adam,1e-05
450,0.00017227529315277934,0.00017227529315277934,0.005655707325786352,0.00027115773991681635,0.00027115773991681635,0.006355771794915199,100,relu,16,relu,256,200,20,nadam,0.0001
558,0.0001743406755849719,0.0001743406755849719,0.005767614580690861,0.00027246217359788716,0.00027246217359788716,0.006395786069333553,75,relu,16,relu,256,200,20,adam,1e-05
472,0.00017147960898000747,0.00017147960898000747,0.005843715742230415,0.000264035101281479,0.000264035101281479,0.006440369412302971,50,relu,100,relu,256,200,20,nadam,0.0001
613,0.00017447218124289066,0.00017447218124289066,0.005915670655667782,0.00026952067855745554,0.00026952067855745554,0.006503771059215069,50,relu,64,relu,256,200,20,rmsprop,0.0001
446,0.0001756011915858835,0.0001756011915858835,0.0060446676798164845,0.00027033331571146846,0.00027033331571146846,0.006493424531072378,75,relu,64,relu,256,200,20,adam,0.001
655,0.0001775377750163898,0.0001775377750163898,0.005887518171221018,0.0002797798370011151,0.0002797798370011151,0.006616966798901558,50,relu,32,relu,256,200,20,nadam,0.001
557,0.00016842132026795298,0.00016842132026795298,0.005713941529393196,0.0002681310579646379,0.0002681310579646379,0.00633380888029933,50,relu,32,relu,256,200,20,nadam,0.0001
351,0.00017993747314903885,0.00017993747314903885,0.006061264779418707,0.00027423168648965657,0.00027423168648965657,0.0066455574706196785,100,relu,100,relu,256,200,20,nadam,0.001
663,0.00017361236677970737,0.00017361236677970737,0.005844662897288799,0.0002694711438380182,0.0002694711438380182,0.006419564597308636,100,relu,16,relu,256,200,20,rmsprop,1e-05
721,0.00017390924040228128,0.00017390924040228128,0.005788431502878666,0.0002698293828871101,0.0002698293828871101,0.006406307220458984,50,relu,16,relu,256,200,20,rmsprop,0.001
1000,0.0002104142913594842,0.0002104142913594842,0.006392014212906361,0.00031834523542784154,0.00031834523542784154,0.007186099886894226,75,relu,32,relu,256,200,20,rmsprop,0.0001
689,0.00016878043243195862,0.00016878043243195862,0.0057502021081745625,0.00026719001471064985,0.00026719001471064985,0.006430088542401791,75,relu,16,relu,256,200,20,nadam,1e-05
573,0.00017320729966741055,0.00017320729966741055,0.005827764514833689,0.00026892279856838286,0.00026892279856838286,0.006475235801190138,50,relu,100,relu,256,200,20,adam,0.0001
652,0.00017978834512177855,0.00017978834512177855,0.005884216632694006,0.00027325795963406563,0.00027325795963406563,0.006529642269015312,50,relu,16,relu,256,200,20,nadam,1e-05
600,0.00017577613471075892,0.00017577613471075892,0.005832028109580278,0.00026539055397734046,0.00026539055397734046,0.006454921327531338,75,relu,64,relu,256,200,20,nadam,0.0001
927,0.00017170650244224817,0.00017170650244224817,0.005705681629478931,0.00026575676747597754,0.00026575676747597754,0.006304544396698475,100,relu,32,relu,256,200,20,nadam,1e-05
594,0.0001711664954200387,0.0001711664954200387,0.005837863776832819,0.00026600193814374506,0.00026600193814374506,0.006291951984167099,50,relu,100,relu,256,200,20,nadam,0.001
792,0.00017547460447531193,0.00017547460447531193,0.005784499458968639,0.00027649375260807574,0.00027649375260807574,0.006444911472499371,100,relu,32,relu,256,200,20,rmsprop,0.001
698,0.00017671439854893833,0.00017671439854893833,0.005830485373735428,0.00027092467644251883,0.00027092467644251883,0.006519106216728687,75,relu,100,relu,256,200,20,nadam,1e-05
914,0.00017453111649956554,0.00017453111649956554,0.00579878780990839,0.0002817498752847314,0.0002817498752847314,0.006408352870494127,50,relu,32,relu,256,200,20,nadam,1e-05
529,0.00017319143807981163,0.00017319143807981163,0.005847556050866842,0.0002664482162799686,0.0002664482162799686,0.006483683828264475,100,relu,16,relu,256,200,20,adam,1e-05
686,0.000170110200997442,0.000170110200997442,0.005688270088285208,0.00026790061383508146,0.00026790061383508146,0.006310541648417711,50,relu,32,relu,256,200,20,adam,1e-05
594,0.0001671050995355472,0.0001671050995355472,0.005761429667472839,0.0002624629414640367,0.0002624629414640367,0.006318110041320324,100,relu,64,relu,256,200,20,rmsprop,0.0001
474,0.0001684431335888803,0.0001684431335888803,0.005669940263032913,0.00026469945441931486,0.00026469945441931486,0.006243077106773853,50,relu,64,relu,256,200,20,adam,1e-05
493,0.00016699965635780245,0.00016699965635780245,0.0056053209118545055,0.00026116915978491306,0.00026116915978491306,0.006226672325283289,75,relu,64,relu,256,200,20,adam,0.0001
405,0.00019218148372601718,0.00019218148372601718,0.0062302593141794205,0.0002851177705451846,0.0002851177705451846,0.006768485065549612,75,relu,100,relu,256,200,20,adam,1e-05
468,0.0001766944769769907,0.0001766944769769907,0.005910184700042009,0.00027085322653874755,0.00027085322653874755,0.006416541989892721,100,relu,32,relu,256,200,20,rmsprop,0.0001
828,0.00016850927204359323,0.00016850927204359323,0.005696939304471016,0.0002664572384674102,0.0002664572384674102,0.006318365689367056,75,relu,100,relu,256,200,20,nadam,0.001
616,0.00017694084090180695,0.00017694084090180695,0.005817673169076443,0.000279869680525735,0.000279869680525735,0.006494076456874609,100,relu,100,relu,256,200,20,nadam,0.0001
703,0.00017463823314756155,0.00017463823314756155,0.005700138863176107,0.0002697768504731357,0.0002697768504731357,0.006381817627698183,75,relu,100,relu,256,200,20,rmsprop,1e-05
573,0.00016922787472140044,0.00016922787472140044,0.0056640286929905415,0.0002720964839681983,0.0002720964839681983,0.006475573871284723,50,relu,32,relu,256,200,20,rmsprop,0.0001
806,0.00017407700943294913,0.00017407700943294913,0.006060663145035505,0.0002699260658118874,0.0002699260658118874,0.006316839717328548,75,relu,64,relu,256,200,20,rmsprop,1e-05
824,0.00017216849664691836,0.00017216849664691836,0.005814720876514912,0.00026675136177800596,0.00026675136177800596,0.006348766852170229,100,relu,100,relu,256,200,20,nadam,1e-05
618,0.00017575849778950214,0.00017575849778950214,0.005728800315409899,0.00027392091578803957,0.00027392091578803957,0.006389807444065809,75,relu,16,relu,256,200,20,nadam,0.0001
466,0.00017282660701312125,0.00017282660701312125,0.005783436354249716,0.0002656679425854236,0.0002656679425854236,0.0064335050992667675,50,relu,32,relu,256,200,20,rmsprop,0.001
815,0.0001723904424579814,0.0001723904424579814,0.005714705213904381,0.00027312300517223775,0.00027312300517223775,0.00637740409001708,75,relu,32,relu,256,200,20,nadam,0.001
661,0.0001677638792898506,0.0001677638792898506,0.0056493040174245834,0.000269484386080876,0.000269484386080876,0.006327775772660971,100,relu,32,relu,256,200,20,nadam,0.0001
664,0.00017339257465209812,0.00017339257465209812,0.005961574614048004,0.00026981811970472336,0.00026981811970472336,0.006544813979417086,50,relu,32,relu,256,200,20,adam,0.001
393,0.00017584821034688503,0.00017584821034688503,0.006014436949044466,0.00028060932527296245,0.00028060932527296245,0.006568540818989277,100,relu,100,relu,256,200,20,adam,1e-05
446,0.00019673991482704878,0.00019673991482704878,0.006589504424482584,0.0002869866439141333,0.0002869866439141333,0.006901246029883623,100,relu,16,relu,256,200,20,rmsprop,0.0001
491,0.00016999334911815822,0.00016999334911815822,0.005638287868350744,0.0002652684925124049,0.0002652684925124049,0.006274492014199495,75,relu,16,relu,256,200,20,rmsprop,1e-05
887,0.00017670121451374143,0.00017670121451374143,0.005780741572380066,0.00027906964533030987,0.00027906964533030987,0.0064992839470505714,100,relu,16,relu,256,200,20,rmsprop,0.001
412,0.00018271076260134578,0.00018271076260134578,0.00599994882941246,0.00027727364795282483,0.00027727364795282483,0.006540678441524506,75,relu,16,relu,256,200,20,adam,0.001
729,0.00017688152729533613,0.00017688152729533613,0.006062784232199192,0.00027142648468725383,0.00027142648468725383,0.006475936621427536,75,relu,32,relu,256,200,20,adam,0.001
938,0.00018512918904889375,0.00018512918904889375,0.005942884366959333,0.00028834043769165874,0.00028834043769165874,0.0066945431753993034,75,relu,64,relu,256,200,20,rmsprop,0.0001
716,0.00018296171037945896,0.00018296171037945896,0.0060261450707912445,0.0002858098887372762,0.0002858098887372762,0.006674874573945999,75,relu,64,relu,256,200,20,nadam,1e-05
649,0.00018455417011864483,0.00018455417011864483,0.0059876395389437675,0.0002789230493362993,0.0002789230493362993,0.006881010252982378,75,relu,100,relu,256,200,20,adam,0.0001
532,0.00016475726442877203,0.00016475726442877203,0.005561096128076315,0.00026474936748854816,0.00026474936748854816,0.006263711489737034,50,relu,100,relu,256,200,20,rmsprop,1e-05
673,0.00017715884314384311,0.00017715884314384311,0.005883997306227684,0.00026942757540382445,0.00026942757540382445,0.006521669216454029,100,relu,64,relu,256,200,20,adam,1e-05
526,0.0001686841860646382,0.0001686841860646382,0.005727816838771105,0.0002727991377469152,0.0002727991377469152,0.006314206402748823,50,relu,64,relu,256,200,20,nadam,0.001
898,0.00016693952784407884,0.00016693952784407884,0.005614991299808025,0.0002646195935085416,0.0002646195935085416,0.006199069786816835,50,relu,16,relu,256,200,20,nadam,0.001
870,0.0001732951495796442,0.0001732951495796442,0.005741768982261419,0.00027221074560657144,0.00027221074560657144,0.006426639389246702,100,relu,64,relu,256,200,20,rmsprop,1e-05
850,0.00016886285447981209,0.00016886285447981209,0.00570079917088151,0.00027060043066740036,0.00027060043066740036,0.00640188017860055,50,relu,16,relu,256,200,20,adam,0.001
949,0.00017819333879742771,0.00017819333879742771,0.005850956309586763,0.00028067565290257335,0.00028067565290257335,0.006554314401000738,50,relu,100,relu,256,200,20,nadam,1e-05
463,0.0001704945316305384,0.0001704945316305384,0.0058951652608811855,0.0002645337372086942,0.0002645337372086942,0.006346603389829397,100,relu,16,relu,256,200,20,adam,0.001
710,0.00017435455811209977,0.00017435455811209977,0.005709739867597818,0.0002711029665078968,0.0002711029665078968,0.006444757338613272,50,relu,64,relu,256,200,20,rmsprop,0.001
477,0.00017258817388210446,0.00017258817388210446,0.005798059515655041,0.00026296041323803365,0.00026296041323803365,0.0063421959057450294,50,relu,32,relu,256,200,20,adam,0.0001
790,0.0001728003699099645,0.0001728003699099645,0.0057426332496106625,0.0002674775314517319,0.0002674775314517319,0.006365163717418909,75,relu,100,relu,256,200,20,rmsprop,0.0001
922,0.0001801601320039481,0.0001801601320039481,0.005982327740639448,0.00027978705475106835,0.00027978705475106835,0.006547523662447929,75,relu,64,relu,256,200,20,adam,1e-05
714,0.00017518713138997555,0.00017518713138997555,0.00578303774818778,0.0002765202953014523,0.0002765202953014523,0.006511224899441004,75,relu,16,relu,256,200,20,adam,0.0001
890,0.00018219159392174333,0.00018219159392174333,0.005898050032556057,0.00028638457297347486,0.00028638457297347486,0.006668495014309883,100,relu,64,relu,256,200,20,nadam,0.001
896,0.00017026205023285002,0.00017026205023285002,0.005767497234046459,0.00026838734629563987,0.00026838734629563987,0.006375180557370186,75,relu,16,relu,256,200,20,rmsprop,0.0001
548,0.00017451860185246915,0.00017451860185246915,0.00572345033288002,0.00027194066205993295,0.00027194066205993295,0.006409240886569023,100,relu,32,relu,256,200,20,nadam,0.001
548,0.0001741702581057325,0.0001741702581057325,0.005793819669634104,0.00027665041852742434,0.00027665041852742434,0.00650686165317893,75,relu,32,relu,256,200,20,nadam,0.0001
374,0.00019812386017292738,0.00019812386017292738,0.006317794322967529,0.00028173477039672434,0.00028173477039672434,0.007123766932636499,100,relu,32,relu,256,200,20,adam,0.001
588,0.00017099340038839728,0.00017099340038839728,0.005692126229405403,0.0002678357996046543,0.0002678357996046543,0.006338854320347309,100,relu,32,relu,256,200,20,adam,1e-05
450,0.00017763162031769753,0.00017763162031769753,0.006181775126606226,0.00027266176766715944,0.00027266176766715944,0.006557033397257328,75,relu,32,relu,256,200,20,adam,0.0001
474,0.00017681086319498718,0.00017681086319498718,0.005797747988253832,0.0002693941933102906,0.0002693941933102906,0.006512969732284546,100,relu,100,relu,256,200,20,adam,0.001
686,0.00018137949518859386,0.00018137949518859386,0.005888765677809715,0.00028215887141413987,0.00028215887141413987,0.006571684964001179,50,relu,16,relu,256,200,20,adam,0.0001
466,0.00018484187603462487,0.00018484187603462487,0.0063832844607532024,0.00028328431653790176,0.00028328431653790176,0.007015733979642391,50,relu,64,relu,256,200,20,rmsprop,1e-05
593,0.00018585898214951158,0.00018585898214951158,0.006180153228342533,0.0002897201629821211,0.0002897201629821211,0.00671729538589716,75,relu,64,relu,256,200,20,nadam,0.001
377,0.00016660254914313555,0.00016660254914313555,0.00564919738098979,0.0002629451628308743,0.0002629451628308743,0.006283592898398638,50,relu,64,relu,256,200,20,adam,0.0001
926,0.00017074894276447594,0.00017074894276447594,0.0056532383896410465,0.000265271810349077,0.000265271810349077,0.006414210889488459,50,relu,100,relu,256,200,20,rmsprop,0.001
690,0.00016449681425001472,0.00016449681425001472,0.005601347889751196,0.00026377642643637955,0.00026377642643637955,0.006247582845389843,100,relu,64,relu,256,200,20,nadam,0.0001
599,0.00017175899120047688,0.00017175899120047688,0.0058169192634522915,0.000267036200966686,0.000267036200966686,0.006499857641756535,100,relu,64,relu,256,200,20,rmsprop,0.001
536,0.00017499012756161392,0.00017499012756161392,0.005800750572234392,0.0002686895604711026,0.0002686895604711026,0.006329476833343506,100,relu,100,relu,256,200,20,rmsprop,0.001
716,0.0001686892210273072,0.0001686892210273072,0.005677803885191679,0.00025949295377358794,0.00025949295377358794,0.006312134675681591,75,relu,100,relu,256,200,20,rmsprop,0.001
560,0.00016860276809893548,0.00016860276809893548,0.005654723383486271,0.0002695800503715873,0.0002695800503715873,0.006388133391737938,50,relu,16,relu,256,200,20,rmsprop,0.0001
699,0.0001694438687991351,0.0001694438687991351,0.005795725621283054,0.0002725641243159771,0.0002725641243159771,0.006365010980516672,50,relu,64,relu,256,200,20,nadam,0.0001
786,0.00016950264398474246,0.00016950264398474246,0.005657377187162638,0.0002656260912772268,0.0002656260912772268,0.006360743660479784,100,relu,64,relu,256,200,20,adam,0.0001
653,0.0001652687496971339,0.0001652687496971339,0.005674355197697878,0.00026090213214047253,0.00026090213214047253,0.006364787928760052,100,relu,100,relu,256,200,20,adam,0.0001
556,0.00020685874915216118,0.00020685874915216118,0.0063835252076387405,0.0002975198731292039,0.0002975198731292039,0.006940705236047506,50,relu,100,relu,256,200,20,adam,1e-05
623,0.00016793186659924686,0.00016793186659924686,0.005770559888333082,0.00026373466243967414,0.00026373466243967414,0.006200871430337429,100,relu,16,relu,256,200,20,nadam,1e-05
