round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
200,0.0005657757283188403,0.0005657757283188403,0.01004236564040184,0.0004784332704730332,0.0004784332704730332,0.010717474855482578,75,tanh,32,relu,256,200,20,adam,0.001
200,0.000605198962148279,0.000605198962148279,0.010513859800994396,0.0004856019513681531,0.0004856019513681531,0.011263570748269558,50,relu,16,relu,256,200,20,adam,0.001
200,0.0006584222428500652,0.0006584222428500652,0.011114023625850677,0.0006027157069183886,0.0006027157069183886,0.01218535378575325,50,relu,64,relu,256,200,20,adam,1e-05
200,0.0006046814378350973,0.0006046814378350973,0.0103458808735013,0.0005236161523498595,0.0005236161523498595,0.011156367138028145,75,tanh,64,tanh,256,200,20,adam,0.001
200,0.0005193115794099867,0.0005193115794099867,0.009501195512712002,0.00043552342685870826,0.00043552342685870826,0.01019800454378128,100,relu,64,elu,256,200,20,adam,1e-05
200,0.000703907513525337,0.000703907513525337,0.011378509923815727,0.0006500857416540384,0.0006500857416540384,0.012424115091562271,50,tanh,16,relu,256,200,20,adam,1e-05
200,0.0007501265499740839,0.0007501265499740839,0.012314293533563614,0.0007938042981550097,0.0007938042981550097,0.013620317913591862,75,relu,16,relu,256,200,20,adam,0.0001
200,0.0005958679248578846,0.0005958679248578846,0.010211742483079433,0.0006052462267689407,0.0006052462267689407,0.01134923193603754,100,relu,64,tanh,256,200,20,adam,0.0001
200,0.0007418099557980895,0.0007418099557980895,0.01224980317056179,0.0006777442758902907,0.0006777442758902907,0.012992220930755138,75,relu,64,elu,256,200,20,adam,1e-05
200,0.000791408761870116,0.000791408761870116,0.01224745437502861,0.0007479568594135344,0.0007479568594135344,0.013348334468901157,75,tanh,32,tanh,256,200,20,adam,0.001
200,0.0005918120150454342,0.0005918120150454342,0.010282957926392555,0.0005983024020679295,0.0005983024020679295,0.011358077637851238,50,tanh,32,elu,256,200,20,adam,0.001
200,0.0005927326856181026,0.0005927326856181026,0.010198027826845646,0.0005322418874129653,0.0005322418874129653,0.01121283508837223,75,tanh,16,elu,256,200,20,adam,0.001
200,0.0007393098785541952,0.0007393098785541952,0.011990651488304138,0.0007887734682299197,0.0007887734682299197,0.013185188174247742,50,tanh,16,tanh,256,200,20,adam,0.0001
200,0.0006485390476882458,0.0006485390476882458,0.010960588231682777,0.0005680948379449546,0.0005680948379449546,0.011483398266136646,100,relu,64,elu,256,200,20,adam,0.0001
200,0.0005317332688719034,0.0005317332688719034,0.009766253642737865,0.0005198520375415683,0.0005198520375415683,0.010596844367682934,75,relu,64,relu,256,200,20,adam,1e-05
200,0.0006143380305729806,0.0006143380305729806,0.010381612926721573,0.0006834511877968907,0.0006834511877968907,0.011333674192428589,75,relu,64,elu,256,200,20,adam,0.001
200,0.000543145346455276,0.000543145346455276,0.00993258971720934,0.0005404613330028951,0.0005404613330028951,0.010784340091049671,100,relu,64,elu,256,200,20,adam,0.001
200,0.0006177841569297016,0.0006177841569297016,0.010450614616274834,0.0004942388040944934,0.0004942388040944934,0.011102987453341484,100,relu,16,relu,256,200,20,adam,1e-05
200,0.0006458000862039626,0.0006458000862039626,0.010571412742137909,0.0005847859429195523,0.0005847859429195523,0.011401987634599209,100,relu,16,tanh,256,200,20,adam,1e-05
200,0.0005228806985542178,0.0005228806985542178,0.00970821175724268,0.00043111800914630294,0.00043111800914630294,0.010437150485813618,50,relu,64,elu,256,200,20,adam,0.0001
200,0.000699103984516114,0.000699103984516114,0.011362125165760517,0.0005674766725860536,0.0005674766725860536,0.012042735703289509,75,relu,32,elu,256,200,20,adam,0.0001
200,0.0005909065366722643,0.0005909065366722643,0.01022503525018692,0.0003789012844208628,0.0003789012844208628,0.010266125202178955,75,tanh,32,elu,256,200,20,adam,1e-05
200,0.0005973392981104553,0.0005973392981104553,0.01018107496201992,0.0006277546053752303,0.0006277546053752303,0.011207248084247112,100,tanh,32,elu,256,200,20,adam,0.001
200,0.0005921732517890632,0.0005921732517890632,0.010240542702376842,0.00046089725219644606,0.00046089725219644606,0.010950183495879173,75,relu,16,relu,256,200,20,adam,1e-05
200,0.0005355898174457252,0.0005355898174457252,0.009562136605381966,0.0004998313961550593,0.0004998313961550593,0.010561530478298664,100,tanh,32,tanh,256,200,20,adam,0.001
200,0.0007841267506591976,0.0007841267506591976,0.01173778623342514,0.0008494257926940918,0.0008494257926940918,0.012857915833592415,50,relu,64,relu,256,200,20,adam,0.001
200,0.0006309062009677291,0.0006309062009677291,0.010489623062312603,0.0006565568037331104,0.0006565568037331104,0.01154238823801279,100,relu,32,relu,256,200,20,adam,1e-05
200,0.000510657497216016,0.000510657497216016,0.009415997192263603,0.00044318867730908096,0.00044318867730908096,0.009986231103539467,75,relu,16,elu,256,200,20,adam,1e-05
200,0.0006851727957837284,0.0006851727957837284,0.01078715082257986,0.0009545283392071724,0.0009545283392071724,0.012205039151012897,100,relu,16,elu,256,200,20,adam,1e-05
200,0.0006500299205072224,0.0006500299205072224,0.01074911653995514,0.0005450596800073981,0.0005450596800073981,0.011700594797730446,75,tanh,64,relu,256,200,20,adam,0.001
200,0.0005441416869871318,0.0005441416869871318,0.009747426025569439,0.0004032303113490343,0.0004032303113490343,0.01037510670721531,50,tanh,64,tanh,256,200,20,adam,0.001
200,0.0005311635904945433,0.0005311635904945433,0.00965406559407711,0.00039105440373532474,0.00039105440373532474,0.010015943087637424,50,tanh,32,tanh,256,200,20,adam,1e-05
200,0.0006690892041660845,0.0006690892041660845,0.011958949267864227,0.0005396085907705128,0.0005396085907705128,0.012936098501086235,75,tanh,16,relu,256,200,20,adam,1e-05
200,0.0005675233551301062,0.0005675233551301062,0.010603005066514015,0.000509725883603096,0.000509725883603096,0.011442760936915874,100,relu,32,relu,256,200,20,adam,0.0001
200,0.0004917756887152791,0.0004917756887152791,0.009353755041956902,0.00041533110197633505,0.00041533110197633505,0.009918003343045712,75,tanh,16,relu,256,200,20,adam,0.0001
