round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,patience,batch_size,optimizer,lr
531,0.0002628608199302107,0.0002628608199302107,0.008625363931059837,0.00024233032308984548,0.00024233032308984548,0.007417190354317427,75,relu,0.05,75,32,relu,50,relu,0.0,32,200,20,256,adam,0.0001
728,0.00023363379295915365,0.00023363379295915365,0.008027821779251099,0.0002337539626751095,0.0002337539626751095,0.007378346286714077,75,relu,0.05,50,64,relu,75,relu,0.0,64,200,20,256,adam,0.0001
490,0.00024746503913775086,0.00024746503913775086,0.009040553122758865,0.00023732507543172687,0.00023732507543172687,0.006989268120378256,50,relu,0.1,75,32,relu,50,relu,0.1,32,200,20,256,adam,1e-05
468,0.0002717410970944911,0.0002717410970944911,0.008544784970581532,0.0002465750148985535,0.0002465750148985535,0.007372028660029173,50,relu,0.1,50,64,relu,75,relu,0.0,32,200,20,256,adam,0.0001
472,0.0002565683680586517,0.0002565683680586517,0.008920318447053432,0.00024970772210508585,0.00024970772210508585,0.00793833564966917,75,relu,0.05,50,32,relu,50,relu,0.1,64,200,20,256,adam,1e-05
475,0.0002736274036578834,0.0002736274036578834,0.009175133891403675,0.0002701894845813513,0.0002701894845813513,0.008519995957612991,50,relu,0.1,50,64,relu,75,relu,0.05,32,200,20,256,adam,0.001
479,0.0002403316175332293,0.0002403316175332293,0.008848786354064941,0.00025036095757968724,0.00025036095757968724,0.008605397306382656,50,relu,0.05,75,32,relu,75,relu,0.05,64,200,20,256,adam,1e-05
527,0.0002456246584188193,0.0002456246584188193,0.008121587336063385,0.00024155514256563038,0.00024155514256563038,0.007572436239570379,75,relu,0.1,75,32,relu,50,relu,0.0,32,200,20,256,adam,0.001
721,0.00023424399842042476,0.00023424399842042476,0.008034268394112587,0.0002339268394280225,0.0002339268394280225,0.007139984983950853,50,relu,0.1,75,64,relu,50,relu,0.1,64,200,20,256,adam,1e-05
688,0.0002304197842022404,0.0002304197842022404,0.007956459186971188,0.00023874810722190887,0.00023874810722190887,0.007078335154801607,75,relu,0.05,75,32,relu,50,relu,0.0,32,200,20,256,adam,1e-05
547,0.0002490915940143168,0.0002490915940143168,0.008038356900215149,0.0002462344418745488,0.0002462344418745488,0.007657964713871479,50,relu,0.1,50,32,relu,75,relu,0.05,32,200,20,256,adam,0.0001
639,0.0002407109277555719,0.0002407109277555719,0.008140509016811848,0.0002391310699749738,0.0002391310699749738,0.008032838813960552,50,relu,0.05,75,32,relu,50,relu,0.1,64,200,20,256,adam,1e-05
576,0.00023773992143105716,0.00023773992143105716,0.008322952315211296,0.00023431562294717878,0.00023431562294717878,0.007274585776031017,75,relu,0.1,75,32,relu,50,relu,0.0,64,200,20,256,adam,0.0001
517,0.00027887377655133605,0.00027887377655133605,0.008919402956962585,0.00023723427148070186,0.00023723427148070186,0.007543173618614674,75,relu,0.05,75,64,relu,50,relu,0.1,32,200,20,256,adam,1e-05
635,0.00023482408141717315,0.00023482408141717315,0.008135492913424969,0.00025953564909286797,0.00025953564909286797,0.008885069750249386,75,relu,0.05,75,32,relu,75,relu,0.05,64,200,20,256,adam,1e-05
599,0.0002171366650145501,0.0002171366650145501,0.007731779012829065,0.00024048412160482258,0.00024048412160482258,0.00715224863961339,50,relu,0.1,50,32,relu,75,relu,0.0,64,200,20,256,adam,1e-05
504,0.0002566136827226728,0.0002566136827226728,0.00884342286735773,0.0002655622083693743,0.0002655622083693743,0.008465858176350594,50,relu,0.1,75,32,relu,50,relu,0.0,64,200,20,256,adam,1e-05
571,0.0002537335967645049,0.0002537335967645049,0.008599075488746166,0.0002526492753531784,0.0002526492753531784,0.00799832958728075,50,relu,0.05,75,64,relu,50,relu,0.0,64,200,20,256,adam,0.001
565,0.0002470978652127087,0.0002470978652127087,0.00805844645947218,0.0002355709730181843,0.0002355709730181843,0.007094384171068668,75,relu,0.1,50,32,relu,75,relu,0.0,32,200,20,256,adam,0.001
671,0.0002352305018575862,0.0002352305018575862,0.007964295335114002,0.00024162576301023364,0.00024162576301023364,0.007277904078364372,75,relu,0.1,75,64,relu,50,relu,0.0,32,200,20,256,adam,1e-05
