round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,batch_size,optimizer,lr
5,0.05530241131782532,0.05530241131782532,0.17606648802757263,0.044424016028642654,0.044424016028642654,0.16209901869297028,75,relu,0.05,50,32,relu,75,relu,0.1,32,100,256,adam,0.0001
5,0.056127846240997314,0.056127846240997314,0.17645059525966644,0.04465801641345024,0.04465801641345024,0.1612085998058319,50,relu,0.05,50,32,relu,75,relu,0.1,32,100,256,adam,0.0001
5,0.04416302219033241,0.04416302219033241,0.1562345176935196,0.03469929099082947,0.03469929099082947,0.142028346657753,75,relu,0.05,50,64,relu,75,relu,0.05,32,100,256,adam,1e-05
5,0.03476263955235481,0.03476263955235481,0.13715091347694397,0.026420220732688904,0.026420220732688904,0.1234351322054863,75,relu,0.05,75,32,relu,50,relu,0.1,64,100,256,adam,0.0001
5,0.05172164738178253,0.05172164738178253,0.16906413435935974,0.04088741913437843,0.04088741913437843,0.15413767099380493,75,relu,0.1,75,32,relu,75,relu,0.0,64,100,256,adam,0.001
5,0.03292534500360489,0.03292534500360489,0.13214626908302307,0.024493692442774773,0.024493692442774773,0.11741107702255249,75,relu,0.1,75,64,relu,50,relu,0.0,64,100,256,adam,0.001
5,0.04212312772870064,0.04212312772870064,0.14989155530929565,0.03195367380976677,0.03195367380976677,0.13410212099552155,50,relu,0.05,75,32,relu,75,relu,0.05,64,100,256,adam,1e-05
5,0.04581351950764656,0.04581351950764656,0.15794827044010162,0.03560582920908928,0.03560582920908928,0.14275935292243958,75,relu,0.05,50,64,relu,75,relu,0.0,64,100,256,adam,0.0001
5,0.026652781292796135,0.026652781292796135,0.11707711219787598,0.019316408783197403,0.019316408783197403,0.10255666822195053,75,relu,0.1,50,32,relu,50,relu,0.05,64,100,256,adam,1e-05
5,0.03778102248907089,0.03778102248907089,0.14115963876247406,0.028556080535054207,0.028556080535054207,0.12599016726016998,75,relu,0.1,50,64,relu,75,relu,0.1,32,100,256,adam,0.0001
5,0.03983108326792717,0.03983108326792717,0.14586395025253296,0.030337929725646973,0.030337929725646973,0.13035549223423004,50,relu,0.1,75,32,relu,75,relu,0.05,64,100,256,adam,1e-05
5,0.060238663107156754,0.060238663107156754,0.1820736825466156,0.04789607599377632,0.04789607599377632,0.16607224941253662,50,relu,0.05,50,64,relu,75,relu,0.1,32,100,256,adam,1e-05
5,0.04936984181404114,0.04936984181404114,0.1645473837852478,0.03849903121590614,0.03849903121590614,0.1488601118326187,75,relu,0.05,75,32,relu,50,relu,0.0,32,100,256,adam,0.001
5,0.04806576296687126,0.04806576296687126,0.16334258019924164,0.03796790912747383,0.03796790912747383,0.14919252693653107,75,relu,0.05,75,64,relu,75,relu,0.1,32,100,256,adam,1e-05
5,0.04655202850699425,0.04655202850699425,0.15757150948047638,0.03577454388141632,0.03577454388141632,0.1415603756904602,50,relu,0.05,50,64,relu,75,relu,0.1,32,100,256,adam,0.001
5,0.0481538288295269,0.0481538288295269,0.1628841906785965,0.03823607787489891,0.03823607787489891,0.1489066779613495,50,relu,0.05,75,32,relu,75,relu,0.05,32,100,256,adam,0.001
5,0.07532678544521332,0.07532678544521332,0.20348374545574188,0.059543512761592865,0.059543512761592865,0.18512322008609772,75,relu,0.05,75,64,relu,50,relu,0.1,32,100,256,adam,0.001
5,0.0464436411857605,0.0464436411857605,0.15788748860359192,0.03519001230597496,0.03519001230597496,0.14088274538516998,75,relu,0.1,75,64,relu,50,relu,0.05,32,100,256,adam,1e-05
5,0.05143919587135315,0.05143919587135315,0.16866359114646912,0.040916550904512405,0.040916550904512405,0.15423280000686646,75,relu,0.05,50,32,relu,75,relu,0.05,64,100,256,adam,0.001
5,0.05076929181814194,0.05076929181814194,0.1677587926387787,0.04029535874724388,0.04029535874724388,0.1533406376838684,50,relu,0.1,75,64,relu,75,relu,0.0,64,100,256,adam,1e-05
