round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,patience,batch_size,optimizer,lr
5,0.03436480090022087,0.03436480090022087,0.1375584900379181,0.046433981508016586,0.046433981508016586,0.148641899228096,75,relu,0.1,75,32,relu,50,relu,0.1,64,200,20,256,adam,0.001
5,0.051691435277462006,0.051691435277462006,0.17309699952602386,0.06947577744722366,0.06947577744722366,0.18932658433914185,75,relu,0.05,50,64,relu,75,relu,0.0,64,200,20,256,adam,1e-05
5,0.04132756218314171,0.04132756218314171,0.15422682464122772,0.05611075460910797,0.05611076205968857,0.16858269274234772,75,relu,0.05,50,32,relu,75,relu,0.0,64,200,20,256,adam,0.0001
5,0.04238416999578476,0.04238416999578476,0.15486596524715424,0.05661850795149803,0.05661850795149803,0.16788141429424286,50,relu,0.1,50,64,relu,75,relu,0.1,64,200,20,256,adam,1e-05
5,0.038903556764125824,0.038903556764125824,0.14896279573440552,0.05237911641597748,0.05237911641597748,0.16196651756763458,75,relu,0.1,50,32,relu,75,relu,0.1,64,200,20,256,adam,0.001
5,0.043096065521240234,0.043096065521240234,0.156793013215065,0.05766671895980835,0.05766671895980835,0.17031969130039215,75,relu,0.1,50,64,relu,75,relu,0.05,32,200,20,256,adam,1e-05
5,0.03743650019168854,0.03743650019168854,0.14577442407608032,0.05094137787818909,0.05094137787818909,0.15891194343566895,50,relu,0.1,50,32,relu,75,relu,0.05,64,200,20,256,adam,0.0001
5,0.04284130781888962,0.04284130781888962,0.15418855845928192,0.05718543007969856,0.05718543007969856,0.16580817103385925,50,relu,0.05,50,32,relu,75,relu,0.05,64,200,20,256,adam,0.001
5,0.04402102157473564,0.04402102157473564,0.15800131857395172,0.05932922661304474,0.05932922661304474,0.171852707862854,50,relu,0.05,50,32,relu,75,relu,0.05,32,200,20,256,adam,0.0001
5,0.04633325710892677,0.04633325710892677,0.16214516758918762,0.062307972460985184,0.062307972460985184,0.17637379467487335,75,relu,0.1,50,64,relu,50,relu,0.1,64,200,20,256,adam,0.0001
