round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
1000,0.00022800156148150563,0.00022800156148150563,0.006704007741063833,0.00022840831661596894,0.00022840831661596894,0.006353479344397783,32,7,relu,50,64,tanh,256,200,20,adam,0.0001
1000,0.00024770840536803007,0.00024770840536803007,0.007032040972262621,0.00026535597862675786,0.00026535597862675786,0.00687380600720644,64,3,relu,75,16,relu,256,200,20,adam,1e-05
1000,0.00021838869724888355,0.00021838869724888355,0.0066443271934986115,0.00022272707428783178,0.00022272707428783178,0.006453461013734341,32,5,relu,50,64,tanh,256,200,20,adam,0.001
1000,0.0002169586659874767,0.0002169586659874767,0.006667344830930233,0.00023900094674900174,0.00023900094674900174,0.006467621307820082,32,5,relu,75,32,tanh,256,200,20,adam,1e-05
1000,0.00023741026234347373,0.00023741026234347373,0.006884504109621048,0.00023758193128742278,0.00023758193128742278,0.006609231699258089,32,5,relu,75,16,relu,256,200,20,adam,0.001
1000,0.00023931024770718068,0.00023931024770718068,0.0069947256706655025,0.00024192633281927556,0.00024192633281927556,0.006473802495747805,32,7,relu,75,16,tanh,256,200,20,adam,1e-05
1000,0.0002621393068693578,0.0002621393068693578,0.0072750793769955635,0.0002616081037558615,0.0002616081037558615,0.006977377459406853,64,5,relu,75,32,tanh,256,200,20,adam,1e-05
1000,0.00025456369621679187,0.00025456369621679187,0.0072666858322918415,0.0002648914814926684,0.0002648914814926684,0.00710808951407671,64,7,relu,75,64,relu,256,200,20,adam,0.001
1000,0.0002462889824528247,0.0002462889824528247,0.0070339348167181015,0.00026551459450274706,0.00026551459450274706,0.006926273461431265,32,7,relu,50,32,tanh,256,200,20,adam,0.0001
1000,0.00025462236953899264,0.00025462236953899264,0.007236762437969446,0.00026508973678573966,0.00026508973678573966,0.006932516116648912,32,5,relu,75,32,tanh,256,200,20,adam,0.001
1000,0.0002751618158072233,0.0002751618158072233,0.00789217371493578,0.0003104452625848353,0.0003104452625848353,0.008147903718054295,32,5,relu,50,32,tanh,256,200,20,adam,0.0001
1000,0.00021370283502619714,0.00021370283502619714,0.006432066671550274,0.0002281314373249188,0.0002281314373249188,0.006273004692047834,32,7,relu,75,64,relu,256,200,20,adam,0.001
1000,0.00021407686290331185,0.00021407686290331185,0.006526018958538771,0.00023452583991456777,0.00023452583991456777,0.006282620597630739,64,3,relu,75,64,relu,256,200,20,adam,1e-05
1000,0.000266330927843228,0.000266330927843228,0.007510992232710123,0.0002835856575984508,0.0002835856575984508,0.0070382640697062016,64,3,relu,75,16,tanh,256,200,20,adam,1e-05
1000,0.00022408997756429017,0.00022408997756429017,0.0067400746047496796,0.00023334195429924875,0.00023334195429924875,0.006424316205084324,64,3,relu,50,64,tanh,256,200,20,adam,0.0001
1000,0.00024747056886553764,0.00024747056886553764,0.007037998642772436,0.00023792659339960665,0.00023792659339960665,0.006740649696439505,32,7,relu,75,64,tanh,256,200,20,adam,0.0001
1000,0.00023592599609401077,0.00023592599609401077,0.007088085636496544,0.00022773726959712803,0.00022773728414904326,0.006577380001544952,64,3,relu,50,16,relu,256,200,20,adam,0.001
1000,0.00025759925483725965,0.00025759925483725965,0.0071364715695381165,0.0002709307591430843,0.0002709307591430843,0.00726975267753005,64,3,relu,75,64,tanh,256,200,20,adam,0.001
1000,0.00026189538766629994,0.00026189538766629994,0.007328164763748646,0.0002706965315155685,0.0002706965315155685,0.007002223748713732,32,5,relu,50,32,relu,256,200,20,adam,0.001
1000,0.00021777443180326372,0.00021777443180326372,0.006636242847889662,0.00022568399435840547,0.00022568399435840547,0.006584073416888714,64,7,relu,75,64,tanh,256,200,20,adam,0.001
1000,0.00023402462829835713,0.00023402462829835713,0.0068634310737252235,0.0002406322892056778,0.0002406322892056778,0.006635811645537615,64,3,relu,50,32,tanh,256,200,20,adam,0.001
1000,0.00024416015367023647,0.00024416015367023647,0.007035357877612114,0.0002601371379569173,0.0002601371379569173,0.006773542612791061,32,7,relu,75,64,relu,256,200,20,adam,1e-05
1000,0.00022518330661114305,0.00022518330661114305,0.006658344995230436,0.00023840612266212702,0.00023840612266212702,0.006599539890885353,64,7,relu,50,32,relu,256,200,20,adam,0.0001
1000,0.0002443613193463534,0.0002443613193463534,0.007069075480103493,0.00025443820049986243,0.00025443820049986243,0.006813795771449804,64,7,relu,75,32,relu,256,200,20,adam,0.0001
1000,0.00022759928833693266,0.00022759928833693266,0.006683999206870794,0.00023417054035235196,0.00023417054035235196,0.006428263150155544,64,5,relu,75,64,tanh,256,200,20,adam,0.001
1000,0.00026957946829497814,0.00026957946829497814,0.007785736117511988,0.00026768934912979603,0.00026768934912979603,0.007010385859757662,64,3,relu,50,32,tanh,256,200,20,adam,1e-05
1000,0.00023352292191702873,0.00023352292191702873,0.006759864743798971,0.0002494122600182891,0.0002494122600182891,0.006575153209269047,32,5,relu,50,16,relu,256,200,20,adam,0.0001
1000,0.00021637449390254915,0.00021637449390254915,0.006747066974639893,0.00022521300707012415,0.00022521300707012415,0.006424021441489458,64,7,relu,75,32,relu,256,200,20,adam,0.001
1000,0.00024730589939281344,0.00024730589939281344,0.007128712721168995,0.0002575047255959362,0.0002575047255959362,0.007594377268105745,32,3,relu,50,64,relu,256,200,20,adam,0.0001
1000,0.00022846055799163878,0.00022846055799163878,0.0067209722474217415,0.00023643675376661122,0.00023643675376661122,0.006731705274432898,64,5,relu,75,64,relu,256,200,20,adam,0.0001
1000,0.00023400207282975316,0.00023400207282975316,0.006940217223018408,0.00024117925204336643,0.00024117925204336643,0.006612722296267748,32,5,relu,75,64,tanh,256,200,20,adam,1e-05
1000,0.0002592520322650671,0.0002592520322650671,0.007244108710438013,0.0002522012509871274,0.0002522012509871274,0.0068584019318223,32,3,relu,50,64,relu,256,200,20,adam,0.001
1000,0.000279012368991971,0.000279012368991971,0.007801814936101437,0.0002832866448443383,0.0002832866448443383,0.007404999807476997,64,5,relu,75,16,tanh,256,200,20,adam,0.0001
1000,0.0002250174293294549,0.0002250174293294549,0.006629738956689835,0.0002263370988657698,0.0002263370988657698,0.0063467170111835,32,5,relu,50,64,relu,256,200,20,adam,0.0001
687,0.00022721449204254895,0.00022721449204254895,0.00666152685880661,0.00023792982392478734,0.00023792982392478734,0.006491097621619701,32,5,relu,75,16,relu,256,200,20,adam,0.0001
1000,0.00024949925136752427,0.00024949925136752427,0.0074659655801951885,0.0002694834256544709,0.0002694834256544709,0.006873250938951969,64,3,relu,50,64,relu,256,200,20,adam,0.0001
1000,0.0002955812669824809,0.0002955812669824809,0.007792219985276461,0.00031670398311689496,0.00031670398311689496,0.007530914153903723,64,3,relu,75,32,relu,256,200,20,adam,0.001
1000,0.00021773308981209993,0.00021773308981209993,0.006617330946028233,0.00022850987443234771,0.00022850987443234771,0.006440382916480303,32,3,relu,50,16,tanh,256,200,20,adam,0.001
1000,0.0002196168788941577,0.0002196168788941577,0.006701779086142778,0.00022783837630413473,0.00022783837630413473,0.006196701433509588,64,3,relu,75,32,tanh,256,200,20,adam,0.0001
1000,0.00021587999071925879,0.00021587999071925879,0.006641969084739685,0.00022326924954541028,0.00022326924954541028,0.006272557657212019,32,7,relu,75,64,tanh,256,200,20,adam,1e-05
1000,0.0002358577330596745,0.0002358577330596745,0.0069254073314368725,0.00024357190704904497,0.00024357190704904497,0.006587631534785032,64,3,relu,50,64,relu,256,200,20,adam,0.001
1000,0.0001999802771024406,0.0001999802771024406,0.006334314122796059,0.00019625092681962997,0.00019625092681962997,0.005939343478530645,64,5,relu,75,16,relu,256,200,20,adam,0.001
1000,0.00019793937099166214,0.00019793937099166214,0.006258577108383179,0.00021106538770254701,0.00021106538770254701,0.0060269334353506565,32,7,relu,50,64,relu,256,200,20,adam,1e-05
1000,0.00022586912382394075,0.00022586912382394075,0.006943747866898775,0.00021598087914753705,0.00021598087914753705,0.006334096658974886,64,5,relu,50,64,tanh,256,200,20,adam,1e-05
1000,0.0002207071374868974,0.0002207071374868974,0.006823585834354162,0.0002526547177694738,0.0002526547177694738,0.006587895564734936,64,7,relu,50,32,relu,256,200,20,adam,1e-05
1000,0.000218180866795592,0.000218180866795592,0.006558463908731937,0.00022118347987998277,0.00022118347987998277,0.006268884055316448,64,7,relu,50,16,tanh,256,200,20,adam,1e-05
1000,0.0002562782901804894,0.0002562782901804894,0.007287853397428989,0.0002770809514913708,0.0002770809514913708,0.007224976550787687,32,3,relu,50,32,tanh,256,200,20,adam,0.001
1000,0.00020235373813193291,0.00020235373813193291,0.0062467060051858425,0.0002135473332600668,0.0002135473332600668,0.006089034024626017,64,5,relu,50,32,relu,256,200,20,adam,1e-05
1000,0.00025421835016459227,0.00025421835016459227,0.007246785331517458,0.0002760127536021173,0.0002760127536021173,0.0070500499568879604,64,3,relu,50,32,relu,256,200,20,adam,0.001
1000,0.00023593915102537721,0.00023593915102537721,0.00690367491915822,0.00024166464572772384,0.00024166464572772384,0.006628174800425768,64,3,relu,75,16,tanh,256,200,20,adam,0.001
