round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
5,0.04406192526221275,0.04406192526221275,0.15732549130916595,0.038373153656721115,0.038373153656721115,0.14645443856716156,32,3,tanh,50,16,relu,256,5,50,adam,0.001
5,0.08780762553215027,0.08780762553215027,0.2213698923587799,0.07641500234603882,0.07641500234603882,0.20564091205596924,32,3,tanh,50,16,relu,256,5,50,adam,0.0001
5,0.037342604249715805,0.037342604249715805,0.1435610055923462,0.03189622238278389,0.03189622238278389,0.13204289972782135,32,3,tanh,50,16,relu,256,5,50,adam,1e-05
5,0.03895246237516403,0.03895246237516403,0.14534036815166473,0.03293980285525322,0.03293980285525322,0.13307930529117584,32,3,tanh,50,16,tanh,256,5,50,adam,0.001
5,0.04202192649245262,0.04202192649245262,0.153097003698349,0.03578408807516098,0.03578408807516098,0.14051327109336853,32,3,tanh,50,16,tanh,256,5,50,adam,0.0001
5,0.061648596078157425,0.061648596078157425,0.18710857629776,0.053776197135448456,0.053776197135448456,0.1743101179599762,32,3,tanh,50,16,tanh,256,5,50,adam,1e-05
5,0.04458414018154144,0.04458414018154144,0.1569174826145172,0.0380534902215004,0.0380534902215004,0.14399851858615875,32,3,tanh,50,32,relu,256,5,50,adam,0.001
5,0.04943116754293442,0.04943116754293442,0.16701771318912506,0.04326477274298668,0.04326477274298668,0.15572594106197357,32,3,tanh,50,32,relu,256,5,50,adam,0.0001
5,0.05398957058787346,0.05398957058787346,0.1769132763147354,0.04818030074238777,0.04818030074238777,0.16738998889923096,32,3,tanh,50,32,relu,256,5,50,adam,1e-05
5,0.03962913155555725,0.03962913155555725,0.14925342798233032,0.03447917848825455,0.03447917848825455,0.13895665109157562,32,3,tanh,50,32,tanh,256,5,50,adam,0.001
5,0.02900080382823944,0.02900080382823944,0.12455254793167114,0.02468537725508213,0.02468537911772728,0.11460934579372406,32,3,tanh,50,32,tanh,256,5,50,adam,0.0001
5,0.0360574945807457,0.0360574945807457,0.14080141484737396,0.030923614278435707,0.030923614278435707,0.12991498410701752,32,3,tanh,50,32,tanh,256,5,50,adam,1e-05
5,0.06902389973402023,0.06902389973402023,0.19832803308963776,0.060245051980018616,0.060245051980018616,0.18484678864479065,32,3,tanh,50,64,relu,256,5,50,adam,0.001
5,0.03843170031905174,0.03843170031905174,0.1464521437883377,0.032941799610853195,0.032941799610853195,0.1352987438440323,32,3,tanh,50,64,relu,256,5,50,adam,0.0001
5,0.055149611085653305,0.055149611085653305,0.17657433450222015,0.048346761614084244,0.048346761614084244,0.1649986356496811,32,3,tanh,50,64,relu,256,5,50,adam,1e-05
5,0.04509258642792702,0.04509258642792702,0.1606554239988327,0.039627641439437866,0.039627641439437866,0.15100382268428802,32,3,tanh,50,64,tanh,256,5,50,adam,0.001
5,0.04412316530942917,0.04412316530942917,0.15614742040634155,0.03788945451378822,0.03788945451378822,0.14375635981559753,32,3,tanh,50,64,tanh,256,5,50,adam,0.0001
5,0.026452386751770973,0.026452386751770973,0.11866078525781631,0.022145995870232582,0.022145995870232582,0.10798380523920059,32,3,tanh,50,64,tanh,256,5,50,adam,1e-05
5,0.04760870710015297,0.04760870710015297,0.16371101140975952,0.04132111370563507,0.04132111370563507,0.15205997228622437,32,3,tanh,75,16,relu,256,5,50,adam,0.001
5,0.02363208308815956,0.02363208308815956,0.1122250184416771,0.019793011248111725,0.019793011248111725,0.10241122543811798,32,3,tanh,75,16,relu,256,5,50,adam,0.0001
5,0.049056276679039,0.049056276679039,0.1667296141386032,0.042685505002737045,0.042685505002737045,0.15527577698230743,32,3,tanh,75,16,relu,256,5,50,adam,1e-05
5,0.04957141354680061,0.04957141354680061,0.1673147827386856,0.04305758327245712,0.04305758327245712,0.15544487535953522,32,3,tanh,75,16,tanh,256,5,50,adam,0.001
5,0.0377059131860733,0.0377059131860733,0.14457641541957855,0.032550208270549774,0.032550208270549774,0.13385039567947388,32,3,tanh,75,16,tanh,256,5,50,adam,0.0001
5,0.04293682053685188,0.04293682053685188,0.15521392226219177,0.036968622356653214,0.036968622356653214,0.14349262416362762,32,3,tanh,75,16,tanh,256,5,50,adam,1e-05
5,0.02563462033867836,0.02563462033867836,0.11754613369703293,0.021322356536984444,0.021322356536984444,0.10647283494472504,32,3,tanh,75,32,relu,256,5,50,adam,0.001
5,0.054424650967121124,0.054424650967121124,0.17419296503067017,0.04745044931769371,0.04745044931769371,0.16219362616539001,32,3,tanh,75,32,relu,256,5,50,adam,0.0001
5,0.044838931411504745,0.044838931411504745,0.15835252404212952,0.03834034875035286,0.03834034875035286,0.14565715193748474,32,3,tanh,75,32,relu,256,5,50,adam,1e-05
5,0.04861345887184143,0.04861345887184143,0.16363483667373657,0.040738631039857864,0.040738631039857864,0.14906613528728485,32,3,tanh,75,32,tanh,256,5,50,adam,0.001
5,0.15054795145988464,0.15054795145988464,0.29687952995300293,0.13347148895263672,0.13347148895263672,0.27818557620048523,32,3,tanh,75,32,tanh,256,5,50,adam,0.0001
5,0.022243769839406013,0.022243769839406013,0.10864853113889694,0.018092777580022812,0.018092777580022812,0.0973251685500145,32,3,tanh,75,32,tanh,256,5,50,adam,1e-05
5,0.08468807488679886,0.08468807488679886,0.22065138816833496,0.0736948624253273,0.0736948624253273,0.20477129518985748,32,3,tanh,75,64,relu,256,5,50,adam,0.001
5,0.050088413059711456,0.050088413059711456,0.1680329144001007,0.043790992349386215,0.043790992349386215,0.15662768483161926,32,3,tanh,75,64,relu,256,5,50,adam,0.0001
5,0.046985067427158356,0.046985067427158356,0.16142307221889496,0.0407569594681263,0.0407569594681263,0.14992061257362366,32,3,tanh,75,64,relu,256,5,50,adam,1e-05
5,0.05978758633136749,0.05978758633136749,0.18431276082992554,0.05206407234072685,0.05206407234072685,0.17169591784477234,32,3,tanh,75,64,tanh,256,5,50,adam,0.001
5,0.06328992545604706,0.06328992545604706,0.1886659860610962,0.054294440895318985,0.054294440895318985,0.17356446385383606,32,3,tanh,75,64,tanh,256,5,50,adam,0.0001
