round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
989,0.000523076334502548,0.000523076334502548,0.01244575809687376,0.00039988127537071705,0.00039988127537071705,0.009726925753057003,16,8,relu,8,0.05,64,relu,256,200,20,adam,1e-05
858,0.0004013275320176035,0.0004013275320176035,0.010476378723978996,0.00034068935201503336,0.00034068935201503336,0.008375609293580055,32,4,relu,4,0.05,64,relu,256,200,20,adam,0.001
743,0.0004700757854152471,0.0004700757854152471,0.011442367918789387,0.0004131866153329611,0.0004131866153329611,0.009498040191829205,16,4,relu,4,0.0,64,relu,256,200,20,adam,1e-05
395,0.0005789555725641549,0.0005789555725641549,0.012641999870538712,0.0005971724167466164,0.0005971724167466164,0.01179417222738266,16,4,relu,8,0.0,32,relu,256,200,20,adam,0.001
556,0.0005607579951174557,0.0005607579951174557,0.012206117622554302,0.00045216450234875083,0.00045216450234875083,0.009686232544481754,64,16,relu,1,0.0,64,relu,256,200,20,adam,0.0001
291,0.0008931459160521626,0.0008931459160521626,0.01479868870228529,0.0006688849534839392,0.0006688849534839392,0.011724734678864479,32,4,relu,8,0.1,64,relu,256,200,20,adam,0.001
761,0.0005073609645478427,0.0005073609645478427,0.011802766472101212,0.0004371152608655393,0.0004371152608655393,0.009743199683725834,16,4,relu,8,0.05,32,relu,256,200,20,adam,1e-05
472,0.0005058977985754609,0.0005058977985754609,0.012248070910573006,0.0005480443360283971,0.0005480443360283971,0.011599846184253693,64,8,relu,8,0.0,32,relu,256,200,20,adam,0.001
678,0.0006258544162847102,0.0006258544162847102,0.013406814076006413,0.0004478217742871493,0.0004478217742871493,0.009857690893113613,64,16,relu,4,0.1,32,relu,256,200,20,adam,1e-05
754,0.00043030589586123824,0.00043030589586123824,0.010957709513604641,0.0003752301272470504,0.0003752301272470504,0.008882271125912666,32,4,relu,1,0.1,32,relu,256,200,20,adam,1e-05
763,0.00047143970732577145,0.00047143970732577145,0.011376352980732918,0.00039208325324580073,0.00039208325324580073,0.009174001403152943,16,4,relu,8,0.05,64,relu,256,200,20,adam,0.001
549,0.0004499636124819517,0.0004499636124819517,0.011419862508773804,0.00039366752025671303,0.00039366752025671303,0.009131132625043392,16,16,relu,8,0.0,32,relu,256,200,20,adam,0.0001
578,0.0005313385045155883,0.0005313385045155883,0.012253187596797943,0.00044699799036607146,0.00044699799036607146,0.009909454733133316,32,8,relu,4,0.1,64,relu,256,200,20,adam,1e-05
515,0.000522077374625951,0.000522077374625951,0.012423289939761162,0.0004828634555451572,0.0004828634555451572,0.01047851238399744,16,4,relu,4,0.05,64,relu,256,200,20,adam,0.001
593,0.0005598994321189821,0.0005598994321189821,0.012158128432929516,0.0005501741543412209,0.0005501741543412209,0.010820387862622738,32,16,relu,1,0.0,64,relu,256,200,20,adam,0.0001
511,0.0004969645524397492,0.0004969645524397492,0.011705569922924042,0.00044908461859449744,0.00044908461859449744,0.009754586964845657,16,4,relu,8,0.0,32,relu,256,200,20,adam,0.0001
531,0.0005037313676439226,0.0005037313676439226,0.012033957988023758,0.00046022902824915946,0.00046022902824915946,0.009724460542201996,32,8,relu,4,0.0,32,relu,256,200,20,adam,0.0001
