,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_hidden_size,params_input_chunk_length,params_learning_rate,params_lstm_layers,params_num_attentions_heads,params_optimizer,params_output_chunk_length,state
0,0,0.041352931410074234,2022-07-14 17:04:48.736968,2022-07-14 17:09:25.932096,0 days 00:04:37.195128,256,0.0,1000,128,30,0.001,3,7,adam,1,COMPLETE
1,1,0.10450168699026108,2022-07-14 17:09:25.932890,2022-07-14 17:12:22.365727,0 days 00:02:56.432837,256,0.05,1000,128,30,0.0001,2,5,adam,1,COMPLETE
2,2,0.012507328763604164,2022-07-14 17:12:22.366475,2022-07-14 17:15:26.087365,0 days 00:03:03.720890,256,0.0,1000,128,30,0.001,4,2,adam,1,COMPLETE
3,3,0.03106389380991459,2022-07-14 17:15:26.088112,2022-07-14 17:18:57.073743,0 days 00:03:30.985631,256,0.05,1000,32,30,0.001,3,7,adam,1,COMPLETE
4,4,0.043772365897893906,2022-07-14 17:18:57.074492,2022-07-14 17:26:52.575806,0 days 00:07:55.501314,256,0.05,1000,128,30,0.0001,5,7,adam,1,COMPLETE
5,5,0.09230483323335648,2022-07-14 17:26:52.576602,2022-07-14 17:29:04.909927,0 days 00:02:12.333325,256,0.05,1000,64,30,1e-05,3,3,adam,1,COMPLETE
6,6,0.04441266134381294,2022-07-14 17:29:04.910682,2022-07-14 17:31:19.371613,0 days 00:02:14.460931,256,0.05,1000,64,30,0.0001,4,7,adam,1,COMPLETE
7,7,0.07862018793821335,2022-07-14 17:31:19.372397,2022-07-14 17:36:57.931925,0 days 00:05:38.559528,256,0.1,1000,64,30,0.001,4,7,adam,1,COMPLETE
8,8,0.048122841864824295,2022-07-14 17:36:57.932679,2022-07-14 17:40:06.297041,0 days 00:03:08.364362,256,0.05,1000,32,30,1e-05,4,3,adam,1,COMPLETE
9,9,0.00954904593527317,2022-07-14 17:40:06.297824,2022-07-14 17:45:22.067506,0 days 00:05:15.769682,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
10,10,0.009548994712531567,2022-07-14 17:45:22.068290,2022-07-14 17:50:38.025130,0 days 00:05:15.956840,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
11,11,0.0095490338280797,2022-07-14 17:50:38.025880,2022-07-14 17:55:54.090639,0 days 00:05:16.064759,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
12,12,0.00954907014966011,2022-07-14 17:55:54.091382,2022-07-14 18:01:09.920402,0 days 00:05:15.829020,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
13,13,0.009549031965434551,2022-07-14 18:01:09.921157,2022-07-14 18:06:26.063365,0 days 00:05:16.142208,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
14,14,0.048088643699884415,2022-07-14 18:06:26.064125,2022-07-14 18:08:41.919774,0 days 00:02:15.855649,256,0.1,1000,32,30,1e-05,5,5,adam,1,COMPLETE
15,15,0.033699680119752884,2022-07-14 18:08:41.920548,2022-07-14 18:12:12.942125,0 days 00:03:31.021577,256,0.0,1000,128,30,1e-05,2,2,adam,1,COMPLETE
16,16,0.00954904593527317,2022-07-14 18:12:12.942912,2022-07-14 18:17:28.591446,0 days 00:05:15.648534,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
17,17,0.009549050591886044,2022-07-14 18:17:28.592206,2022-07-14 18:22:44.552794,0 days 00:05:15.960588,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
18,18,0.03863029554486275,2022-07-14 18:22:44.553539,2022-07-14 18:24:52.155870,0 days 00:02:07.602331,256,0.1,1000,32,30,1e-05,5,3,adam,1,COMPLETE
19,19,0.02191205881536007,2022-07-14 18:24:52.156617,2022-07-14 18:33:09.744038,0 days 00:08:17.587421,256,0.0,1000,64,30,0.0001,2,2,adam,1,COMPLETE
20,20,0.026788009330630302,2022-07-14 18:33:09.744786,2022-07-14 18:38:38.050336,0 days 00:05:28.305550,256,0.0,1000,128,30,1e-05,5,5,adam,1,COMPLETE
21,21,0.009549050591886044,2022-07-14 18:38:38.051083,2022-07-14 18:43:53.800907,0 days 00:05:15.749824,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
22,22,0.009549030102789402,2022-07-14 18:43:53.801656,2022-07-14 18:49:09.688628,0 days 00:05:15.886972,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
23,23,0.00954904593527317,2022-07-14 18:49:09.689372,2022-07-14 18:54:26.456349,0 days 00:05:16.766977,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
24,24,0.009549050591886044,2022-07-14 18:54:26.457105,2022-07-14 18:59:42.767221,0 days 00:05:16.310116,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
25,25,0.10355907678604126,2022-07-14 18:59:42.767973,2022-07-14 19:10:31.706772,0 days 00:10:48.938799,256,0.1,1000,128,30,1e-05,5,3,adam,1,COMPLETE
26,26,0.009549031965434551,2022-07-14 19:10:31.707529,2022-07-14 19:15:48.365548,0 days 00:05:16.658019,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
27,27,0.056354355067014694,2022-07-14 19:15:48.366334,2022-07-14 19:19:39.324180,0 days 00:03:50.957846,256,0.0,1000,128,30,1e-05,2,3,adam,1,COMPLETE
28,28,0.053603529930114746,2022-07-14 19:19:39.324944,2022-07-14 19:23:44.147376,0 days 00:04:04.822432,256,0.0,1000,64,30,0.001,3,2,adam,1,COMPLETE
29,29,0.03829095885157585,2022-07-14 19:23:44.148122,2022-07-14 19:25:45.008630,0 days 00:02:00.860508,256,0.0,1000,32,30,0.0001,3,5,adam,1,COMPLETE
30,30,0.04575464501976967,2022-07-14 19:25:45.009373,2022-07-14 19:32:07.455407,0 days 00:06:22.446034,256,0.1,1000,128,30,0.001,5,3,adam,1,COMPLETE
31,31,0.009549050591886044,2022-07-14 19:32:07.456164,2022-07-14 19:37:24.012701,0 days 00:05:16.556537,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
32,32,0.009549050591886044,2022-07-14 19:37:24.013463,2022-07-14 19:42:40.043470,0 days 00:05:16.030007,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
33,33,0.009549044072628021,2022-07-14 19:42:40.044233,2022-07-14 19:47:56.183614,0 days 00:05:16.139381,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
